,High,Low,Close,Symbol,Adj_Close,Date,Open,Volume
0,1.362,1.33,1.342,900957.SS,1.342,2016-07-28,1.355,1311900
1,1.401,1.322,1.355,900957.SS,1.355,2016-07-27,1.395,2634000
2,1.402,1.385,1.398,900957.SS,1.398,2016-07-26,1.394,541800
3,1.396,1.384,1.39,900957.SS,1.39,2016-07-25,1.395,581200
4,1.407,1.392,1.395,900957.SS,1.395,2016-07-22,1.407,449400
5,1.411,1.395,1.40,900957.SS,1.40,2016-07-21,1.406,615600
6,1.406,1.385,1.395,900957.SS,1.395,2016-07-20,1.396,613300
7,1.396,1.384,1.396,900957.SS,1.396,2016-07-19,1.388,558300
8,1.408,1.387,1.39,900957.SS,1.39,2016-07-18,1.408,533100
9,1.408,1.392,1.403,900957.SS,1.403,2016-07-15,1.398,286800
10,1.409,1.397,1.403,900957.SS,1.403,2016-07-14,1.408,558100
11,1.42,1.401,1.408,900957.SS,1.408,2016-07-13,1.418,1058500
12,1.414,1.376,1.414,900957.SS,1.414,2016-07-12,1.385,1553500
13,1.408,1.382,1.383,900957.SS,1.383,2016-07-11,1.385,1097800
14,1.394,1.381,1.382,900957.SS,1.382,2016-07-08,1.387,547700
15,1.399,1.379,1.39,900957.SS,1.39,2016-07-07,1.392,777000
16,1.404,1.39,1.397,900957.SS,1.397,2016-07-06,1.403,604000
17,1.414,1.398,1.401,900957.SS,1.401,2016-07-05,1.414,737200
18,1.42,1.373,1.408,900957.SS,1.408,2016-07-04,1.382,1640000
19,1.402,1.379,1.384,900957.SS,1.384,2016-07-01,1.40,1049400
20,1.405,1.39,1.393,900957.SS,1.393,2016-06-30,1.405,557300
21,1.412,1.395,1.398,900957.SS,1.398,2016-06-29,1.398,1507600
22,1.398,1.372,1.397,900957.SS,1.397,2016-06-28,1.388,1533500
23,1.395,1.338,1.392,900957.SS,1.392,2016-06-27,1.343,2541000
24,1.382,1.32,1.346,900957.SS,1.346,2016-06-24,1.366,2214800
25,1.39,1.363,1.368,900957.SS,1.368,2016-06-23,1.38,1606400
26,1.393,1.341,1.39,900957.SS,1.39,2016-06-22,1.35,1582500
27,1.38,1.341,1.349,900957.SS,1.349,2016-06-21,1.347,1860900
28,1.342,1.314,1.34,900957.SS,1.34,2016-06-20,1.332,827300
29,1.348,1.325,1.331,900957.SS,1.331,2016-06-17,1.337,955000
30,1.343,1.319,1.322,900957.SS,1.322,2016-06-16,1.333,715900
31,1.35,1.28,1.336,900957.SS,1.336,2016-06-15,1.281,1658700
32,1.311,1.281,1.299,900957.SS,1.299,2016-06-14,1.281,1231800
33,1.344,1.282,1.283,900957.SS,1.283,2016-06-13,1.344,2087500
34,1.36,1.36,1.36,900957.SS,1.36,2016-06-10,1.36,000
35,1.36,1.36,1.36,900957.SS,1.36,2016-06-09,1.36,000
36,1.373,1.348,1.36,900957.SS,1.36,2016-06-08,1.369,1607300
37,1.381,1.355,1.374,900957.SS,1.374,2016-06-07,1.381,1006400
38,1.386,1.358,1.366,900957.SS,1.366,2016-06-06,1.372,1179400
39,1.373,1.352,1.363,900957.SS,1.363,2016-06-03,1.359,1176700
40,1.368,1.342,1.362,900957.SS,1.362,2016-06-02,1.348,1073100
41,1.378,1.34,1.348,900957.SS,1.348,2016-06-01,1.35,2185200
42,1.359,1.249,1.355,900957.SS,1.355,2016-05-31,1.249,5448400
43,1.26,1.226,1.249,900957.SS,1.249,2016-05-30,1.247,584600
44,1.27,1.238,1.255,900957.SS,1.255,2016-05-27,1.257,953900
45,1.267,1.206,1.257,900957.SS,1.257,2016-05-26,1.242,1661200
46,1.279,1.246,1.249,900957.SS,1.249,2016-05-25,1.257,1364200
47,1.27,1.245,1.251,900957.SS,1.251,2016-05-24,1.266,1038500
48,1.292,1.243,1.27,900957.SS,1.27,2016-05-23,1.245,2147000
49,1.242,1.202,1.239,900957.SS,1.239,2016-05-20,1.212,955300
50,1.245,1.208,1.228,900957.SS,1.228,2016-05-19,1.219,1424300
51,1.249,1.198,1.214,900957.SS,1.214,2016-05-18,1.24,1815000
52,1.275,1.239,1.255,900957.SS,1.255,2016-05-17,1.26,1241500
53,1.259,1.207,1.258,900957.SS,1.258,2016-05-16,1.211,1383500
54,1.234,1.194,1.21,900957.SS,1.21,2016-05-13,1.202,1126100
55,1.219,1.165,1.212,900957.SS,1.212,2016-05-12,1.211,2037500
56,1.33,1.22,1.222,900957.SS,1.222,2016-05-11,1.317,2863000
57,1.326,1.303,1.312,900957.SS,1.312,2016-05-10,1.313,1120100
58,1.36,1.306,1.313,900957.SS,1.313,2016-05-09,1.36,2016100
59,1.424,1.361,1.365,900957.SS,1.365,2016-05-06,1.413,2067600
60,1.417,1.398,1.412,900957.SS,1.412,2016-05-05,1.407,637800
61,1.422,1.403,1.407,900957.SS,1.407,2016-05-04,1.418,995900
62,1.42,1.372,1.414,900957.SS,1.414,2016-05-03,1.373,2061100
63,1.373,1.373,1.373,900957.SS,1.373,2016-05-02,1.373,000
64,1.38,1.36,1.373,900957.SS,1.373,2016-04-29,1.362,539000
65,1.384,1.347,1.377,900957.SS,1.377,2016-04-28,1.384,1506300
66,1.404,1.372,1.384,900957.SS,1.384,2016-04-27,1.379,1528800
67,1.386,1.351,1.384,900957.SS,1.384,2016-04-26,1.351,1139000
68,1.368,1.319,1.357,900957.SS,1.357,2016-04-25,1.368,1413900
69,1.37,1.347,1.367,900957.SS,1.367,2016-04-22,1.353,1429100
70,1.383,1.35,1.354,900957.SS,1.354,2016-04-21,1.374,1942400
71,1.436,1.35,1.378,900957.SS,1.378,2016-04-20,1.422,3742900
72,1.441,1.41,1.422,900957.SS,1.422,2016-04-19,1.431,968200
73,1.45,1.41,1.425,900957.SS,1.425,2016-04-18,1.45,1645100
74,1.467,1.45,1.455,900957.SS,1.455,2016-04-15,1.467,1067800
75,1.471,1.451,1.466,900957.SS,1.466,2016-04-14,1.461,1462000
76,1.475,1.448,1.461,900957.SS,1.461,2016-04-13,1.453,3129200
77,1.449,1.423,1.448,900957.SS,1.448,2016-04-12,1.443,1866400
78,1.478,1.416,1.444,900957.SS,1.444,2016-04-11,1.416,3277400
79,1.462,1.397,1.416,900957.SS,1.416,2016-04-08,1.456,4927400
80,1.499,1.455,1.46,900957.SS,1.46,2016-04-07,1.498,2618800
81,1.503,1.48,1.494,900957.SS,1.494,2016-04-06,1.493,2533700
82,1.499,1.472,1.491,900957.SS,1.491,2016-04-05,1.48,3134900
83,1.486,1.486,1.486,900957.SS,1.486,2016-04-04,1.486,000
84,1.489,1.433,1.486,900957.SS,1.486,2016-04-01,1.467,3534200
85,1.493,1.467,1.468,900957.SS,1.468,2016-03-31,1.469,3837600
86,1.468,1.42,1.46,900957.SS,1.46,2016-03-30,1.436,4263900
87,1.466,1.381,1.416,900957.SS,1.416,2016-03-29,1.452,5437000
88,1.50,1.45,1.461,900957.SS,1.461,2016-03-28,1.468,3765600
89,1.473,1.435,1.461,900957.SS,1.461,2016-03-25,1.45,2493700
90,1.492,1.454,1.457,900957.SS,1.457,2016-03-24,1.48,3725800
91,1.502,1.445,1.494,900957.SS,1.494,2016-03-23,1.455,4325100
92,1.475,1.448,1.46,900957.SS,1.46,2016-03-22,1.46,2863000
93,1.489,1.448,1.48,900957.SS,1.48,2016-03-21,1.488,5960400
94,1.50,1.43,1.46,900957.SS,1.46,2016-03-18,1.431,8098300
