Month,Duck_Forzen_BE,Duck_Forzen_CH,Duck_Forzen_DE,Duck_Forzen_ES,Duck_Forzen_GB,Duck_Forzen_HK,Duck_Forzen_IT,Duck_Forzen_JP,Duck_Forzen_OTHER,Duck_Forzen_SG,Duck_Forzen_TH,Duck_Fresh_BE,Duck_Fresh_CH,Duck_Fresh_DE,Duck_Fresh_ES,Duck_Fresh_GB,Duck_Fresh_HK,Duck_Fresh_IT,Duck_Fresh_JP,Duck_Fresh_OTHER,Duck_Fresh_SG,Duck_Fresh_TH,Goose_Forzen_BE,Goose_Forzen_CH,Goose_Forzen_DE,Goose_Forzen_ES,Goose_Forzen_GB,Goose_Forzen_HK,Goose_Forzen_IT,Goose_Forzen_JP,Goose_Forzen_OTHER,Goose_Forzen_SG,Goose_Forzen_TH,Goose_Fresh_BE,Goose_Fresh_CH,Goose_Fresh_DE,Goose_Fresh_ES,Goose_Fresh_GB,Goose_Fresh_HK,Goose_Fresh_IT,Goose_Fresh_JP,Goose_Fresh_OTHER,Goose_Fresh_SG,Goose_Fresh_TH
2012-01-01,1755,100,643,18902,692,6882,1290,18227,637.7142857142857,0,0,3033,12514,2009,13958,5236,135,745,8055,269.9,343,4751,229,0,113,2666,136,0,149,0,23.333333333333332,0,0,77,895,2425,143,82,140,280,308,270.1,0,8
2012-02-01,9929,98,718,20257,1636,7738,1101,10317,777.4666666666667,2349,540,2437,11154,1526,14025,5690,1621,483,8381,364.76666666666665,787,1180,153,0,156,796,588,968,193,0,5296.5,0,63,65,255,2309,98,74,514,201,419,306.9,5,0
2012-03-01,3270,208,1125,19879,1237,0,579,24388,404.6666666666667,4576,3222,2222,18049,1830,20159,5845,678,897,10505,261.44827586206895,1680,563,176,0,295,41,959,0,84,3007,740.4,0,0,75,262,2437,173,68,591,275,345,265.3636363636364,10,14
2012-04-01,6365,860,821,15093,1422,6420,1579,22716,638.0,568,301,2457,17051,1460,13834,4657,2022,801,14467,241.2258064516129,469,2551,60,0,62,1407,783,1737,53,1552,168.4,257,20,85,191,2406,39,108,98,193,216,91.375,0,0
2012-05-01,4113,512,1618,28453,1223,7153,830,29058,394.6666666666667,4710,341,2487,13467,1147,20820,6212,281,630,8919,309.56,149,1379,69,0,233,2228,333,0,220,0,760.6,0,0,78,507,1945,201,40,322,170,764,243.6,0,440
2012-06-01,1492,398,967,24175,935,10258,962,9603,647.8666666666667,3291,6218,2242,9445,1631,27467,5642,541,810,11046,377.3333333333333,277,1080,90,0,170,868,965,0,102,1408,306.2,1603,0,76,135,1795,80,42,646,318,217,291.77777777777777,0,0
2012-07-01,1787,399,813,20885,1296,1436,1274,25506,394.3076923076923,2224,352,1823,5362,1642,19267,6027,592,923,15421,220.59259259259258,660,1399,0,0,99,584,905,0,34,0,204.75,0,2524,77,212,1884,319,57,80,329,423,280.15384615384613,5,0
2012-08-01,3508,739,948,13973,823,3089,877,24456,576.7368421052631,539,3499,1807,7298,1581,17686,4712,648,443,16790,793.925925925926,89,695,46,0,293,658,498,2004,51,0,170.8,0,0,75,310,2424,121,38,419,280,249,301.77777777777777,2,0
2012-09-01,5049,2590,1331,34638,964,6481,1386,31446,577.25,3499,374,2481,13039,2037,20889,5394,1917,897,13815,276.93333333333334,1055,644,69,48,185,2704,148,591,333,0,2286.3,1317,255,129,317,3323,65,53,135,409,176,232.08333333333334,122,1061
2012-10-01,9283,3629,2946,36285,2297,21928,697,34115,849.5909090909091,2055,4346,5236,23108,2752,17736,8343,3118,844,16672,462.7567567567568,762,661,89,0,374,1994,730,4567,81,1648,98.25,3249,60,204,330,4749,116,75,746,252,1264,454.1666666666667,8,0
2012-11-01,2510,8379,903,36408,1824,6313,2035,23414,1176.08,4190,706,8376,55666,3074,16045,7053,367,1099,12500,526.2631578947369,1090,102,349,45,324,1874,1278,0,151,0,75.625,0,2912,751,337,3972,179,83,351,470,1245,836.9285714285714,0,0
