Month,ALSACE_BLANC_BE,ALSACE_BLANC_CA,ALSACE_BLANC_CH,ALSACE_BLANC_CN,ALSACE_BLANC_DE,ALSACE_BLANC_GB,ALSACE_BLANC_HK,ALSACE_BLANC_JP,ALSACE_BLANC_NL,ALSACE_BLANC_OTHER,ALSACE_BLANC_US,BEAUJOLAIS_ROUGE_BE,BEAUJOLAIS_ROUGE_CA,BEAUJOLAIS_ROUGE_CH,BEAUJOLAIS_ROUGE_CN,BEAUJOLAIS_ROUGE_DE,BEAUJOLAIS_ROUGE_GB,BEAUJOLAIS_ROUGE_HK,BEAUJOLAIS_ROUGE_JP,BEAUJOLAIS_ROUGE_NL,BEAUJOLAIS_ROUGE_OTHER,BEAUJOLAIS_ROUGE_US,BORDEAUX_BLANC_BE,BORDEAUX_BLANC_CA,BORDEAUX_BLANC_CH,BORDEAUX_BLANC_CN,BORDEAUX_BLANC_DE,BORDEAUX_BLANC_GB,BORDEAUX_BLANC_HK,BORDEAUX_BLANC_JP,BORDEAUX_BLANC_NL,BORDEAUX_BLANC_OTHER,BORDEAUX_BLANC_US,BORDEAUX_ROUGE_BE,BORDEAUX_ROUGE_CA,BORDEAUX_ROUGE_CH,BORDEAUX_ROUGE_CN,BORDEAUX_ROUGE_DE,BORDEAUX_ROUGE_GB,BORDEAUX_ROUGE_HK,BORDEAUX_ROUGE_JP,BORDEAUX_ROUGE_NL,BORDEAUX_ROUGE_OTHER,BORDEAUX_ROUGE_US,BOURGOGNE_BLANC_BE,BOURGOGNE_BLANC_CA,BOURGOGNE_BLANC_CH,BOURGOGNE_BLANC_CN,BOURGOGNE_BLANC_DE,BOURGOGNE_BLANC_GB,BOURGOGNE_BLANC_HK,BOURGOGNE_BLANC_JP,BOURGOGNE_BLANC_NL,BOURGOGNE_BLANC_OTHER,BOURGOGNE_BLANC_US,BOURGOGNE_ROUGE_BE,BOURGOGNE_ROUGE_CA,BOURGOGNE_ROUGE_CH,BOURGOGNE_ROUGE_CN,BOURGOGNE_ROUGE_DE,BOURGOGNE_ROUGE_GB,BOURGOGNE_ROUGE_HK,BOURGOGNE_ROUGE_JP,BOURGOGNE_ROUGE_NL,BOURGOGNE_ROUGE_OTHER,BOURGOGNE_ROUGE_US,CHAMPAGNE_MOUSSEUX_BE,CHAMPAGNE_MOUSSEUX_CA,CHAMPAGNE_MOUSSEUX_CH,CHAMPAGNE_MOUSSEUX_CN,CHAMPAGNE_MOUSSEUX_DE,CHAMPAGNE_MOUSSEUX_GB,CHAMPAGNE_MOUSSEUX_HK,CHAMPAGNE_MOUSSEUX_JP,CHAMPAGNE_MOUSSEUX_NL,CHAMPAGNE_MOUSSEUX_OTHER,CHAMPAGNE_MOUSSEUX_US,EUROPE_ROUGE_BE,EUROPE_ROUGE_CA,EUROPE_ROUGE_CH,EUROPE_ROUGE_CN,EUROPE_ROUGE_DE,EUROPE_ROUGE_GB,EUROPE_ROUGE_HK,EUROPE_ROUGE_JP,EUROPE_ROUGE_NL,EUROPE_ROUGE_OTHER,EUROPE_ROUGE_US,FRANCE_BLANC_BE,FRANCE_BLANC_CA,FRANCE_BLANC_CH,FRANCE_BLANC_CN,FRANCE_BLANC_DE,FRANCE_BLANC_GB,FRANCE_BLANC_HK,FRANCE_BLANC_JP,FRANCE_BLANC_NL,FRANCE_BLANC_OTHER,FRANCE_BLANC_US,FRANCE_MOUSSEUX_BE,FRANCE_MOUSSEUX_CA,FRANCE_MOUSSEUX_CH,FRANCE_MOUSSEUX_CN,FRANCE_MOUSSEUX_DE,FRANCE_MOUSSEUX_GB,FRANCE_MOUSSEUX_HK,FRANCE_MOUSSEUX_JP,FRANCE_MOUSSEUX_NL,FRANCE_MOUSSEUX_OTHER,FRANCE_MOUSSEUX_US,FRANCE_ROUGE_BE,FRANCE_ROUGE_CA,FRANCE_ROUGE_CH,FRANCE_ROUGE_CN,FRANCE_ROUGE_DE,FRANCE_ROUGE_GB,FRANCE_ROUGE_HK,FRANCE_ROUGE_JP,FRANCE_ROUGE_NL,FRANCE_ROUGE_OTHER,FRANCE_ROUGE_US,LANGUEDOC_ROUGE_BE,LANGUEDOC_ROUGE_CA,LANGUEDOC_ROUGE_CH,LANGUEDOC_ROUGE_CN,LANGUEDOC_ROUGE_DE,LANGUEDOC_ROUGE_GB,LANGUEDOC_ROUGE_HK,LANGUEDOC_ROUGE_JP,LANGUEDOC_ROUGE_NL,LANGUEDOC_ROUGE_OTHER,LANGUEDOC_ROUGE_US,LOIRE_BLANC_BE,LOIRE_BLANC_CA,LOIRE_BLANC_CH,LOIRE_BLANC_CN,LOIRE_BLANC_DE,LOIRE_BLANC_GB,LOIRE_BLANC_HK,LOIRE_BLANC_JP,LOIRE_BLANC_NL,LOIRE_BLANC_OTHER,LOIRE_BLANC_US,LOIRE_ROUGE_BE,LOIRE_ROUGE_CA,LOIRE_ROUGE_CH,LOIRE_ROUGE_CN,LOIRE_ROUGE_DE,LOIRE_ROUGE_GB,LOIRE_ROUGE_HK,LOIRE_ROUGE_JP,LOIRE_ROUGE_NL,LOIRE_ROUGE_OTHER,LOIRE_ROUGE_US,OTHER_ROUGE_BE,OTHER_ROUGE_CA,OTHER_ROUGE_CH,OTHER_ROUGE_CN,OTHER_ROUGE_DE,OTHER_ROUGE_GB,OTHER_ROUGE_HK,OTHER_ROUGE_JP,OTHER_ROUGE_NL,OTHER_ROUGE_OTHER,OTHER_ROUGE_US,RHÔNE_ROUGE_BE,RHÔNE_ROUGE_CA,RHÔNE_ROUGE_CH,RHÔNE_ROUGE_CN,RHÔNE_ROUGE_DE,RHÔNE_ROUGE_GB,RHÔNE_ROUGE_HK,RHÔNE_ROUGE_JP,RHÔNE_ROUGE_NL,RHÔNE_ROUGE_OTHER,RHÔNE_ROUGE_US
2012-01-01,1131852,571940,257116,140013,357516,344274,51043,329883,624695,32232.38888888889,442026,223086.0,502706,155842.0,95419.0,91027.0,332417,11655.0,251269.0,318101,8440.92857142857,1145720,458190,387717,301066,417196,347708,573039,467630,739037,282673,18890.9625,308516,5424130,818338,6605590,8616750,5712301,15561360,8801672,4152184,1295402,172637,5060936,717300,1175619,301275,172795,531016,2051436,250952,1355446,476330,45850,1700333,282484,499875,1366695,447031,189427,1016917,1952960,1962506,197350,36903.620253164554,1903922,3956629,1133132,2041485,599421,4560375,13832644,385914,2412379,866232,227238,9265595,443203,417443,163851,629340,952206,597598,86404,281337,586397,22696.720121028746,330474,4729.571428571428,0.0,768.5,0.0,6365.75,3186.0,10428.5,23810.0,473.5,1644.0,44899.666666666664,100119,41490.0,7765.5,20488.5,337005,153357,18184.0,147473,6389.5,18324.5625,217887,30505.6875,9690.0,10033.0,260.5,12463.777777777777,8073.076923076923,20084.166666666668,4957.5,72962,4009.891304347826,75927.28571428571,466332,1115119,326872,1143818,733174,965264,102799,550309,333732,10535.920634920634,731865,425283,693388,165045,27310.0,690565,521841,87940.0,259496,456699,16026.893333333333,1825341,163004,68843,7311.0,134080.0,32148.0,181511,4172.0,72831.0,137102,5723.112903225807,391904,16594.363636363636,11527.0,39388.0,21419.0,88170,141360,105422.33333333333,117727.0,94262,7459.123655913979,26489.0,912648,800628,650236,1127393,783952,1513332,335710,916965,314654,35418,1260510
2012-02-01,857289,585556,187917,89805,505896,424953,80220,239242,899144,26432.432835820895,685045,154423.0,1018021,148303.0,98328.0,95761.0,674319,12150.0,408021.0,208383,14460.151515151516,584730,389324,438666,350272,174136,315304,936022,387302,470694,330359,16513.670588235294,616238,5756427,2160616,7088368,9765526,7460382,20125034,6605382,4396028,1588058,160598,6485133,797818,1449389,285072,237061,470864,2378801,440016,1636366,614207,61285,2305144,192178,976822,844824,329578,133884,1419374,558296,1557374,474039,66577.91025641025,3553536,3011648,1171557,2721622,1000890,7079012,11304781,562698,3610171,1123239,252962,14640624,467716,451337,193670,461207,1013020,541638,62292,290046,547193,23824.44551724138,525724,6725.333333333333,0.0,8405.0,36121.0,6948.666666666667,6991.8,4325.0,56488.5,227.0,6506.0,26101.11111111111,87856,39636.5,10028.0,38125.0,596550,53759,4531.5,352069,3968.0,16890.2,313849,32006.5,2782.5,14970.0,1306.6666666666667,13271.555555555555,33606.857142857145,3994.8,9330.166666666666,92639,3815.2582781456954,69965.0,601009,520944,311672,491686,789826,639975,133654,195742,396480,19597.0,543962,267478,228222,224919,30144.0,467022,1189694,36492.0,155718,435997,15952.575342465754,1151396,230839,72868,13653.5,53768.0,73868.0,196972,7734.0,57951.0,242343,5602.2307692307695,206939,25845.555555555555,27583.5,37588.666666666664,27489.6,90234,159755,70691.75,97404.6,68781,10478.175531914894,11649.5,961259,795356,680567,188827,868576,1277664,197072,318522,516140,36604,2136484
2012-03-01,1438501,834142,679281,103577,583887,352675,102980,394945,1093638,38946.9375,700374,96839.5,1037635,233388.5,166946.0,188982.0,566240,19484.0,211758.0,380550,8973.987804878048,1170337,454456,403536,455574,442385,509181,1389328,193032,599822,497506,18609.138613861385,1180814,6249267,1651414,10334474,10760530,7810394,31746732,8973152,5853716,1560624,201140,8429680,1148104,1706458,348506,289395,699216,3597520,273248,3698742,1514115,60918,2831876,319290,517021,878922,424662,250854,2411530,1207982,2316740,371266,50289.895348837206,4085703,3480042,866302,2709310,315113,7125471,14062564,446887,3433450,1267645,270529,9831066,517239,445401,227680,698917,1051925,775640,93594,428599,663818,28481.038216560508,791273,8372.666666666666,0.0,931.5,2865.0,8664.5,2604.714285714286,5899.0,9147.25,327.0,3393.2258064516127,39815.5,83510,17608.0,17368.333333333332,38171.0,843210,94375,45511.0,271952,17527.5,23161.236559139787,386357,34707.055555555555,6144.6,8142.333333333333,6044.111111111111,11938.222222222223,29774.625,3643.0,15466.666666666666,114909,3714.8490566037735,67031.0,666496,719826,339669,815696,771483,719874,133342,257142,369186,17557.657534246577,704373,705184,643440,374624,22179.5,261875,1704204,44864.5,211749,636780,19533.223529411764,1810100,301264,109780,33476.0,15325.0,62942.5,201876,47878.0,139886.0,182624,6419.144736842105,1017700,22167.0,19109.0,19619.333333333332,35341.0,91811,158107,84539.4,66980.8,115542,10465.744565217392,14718.2,1150902,873858,1318538,856382,627236,2343448,132200,605914,410308,43197,3264810
2012-04-01,986602,866221,523202,203456,515903,403517,52773,260953,874217,34391.47692307692,636294,122915.0,1567947,141075.0,118219.0,127391.0,491593,27229.0,142442.5,163284,11695.438356164384,687634,580773,496836,183180,1023496,257948,1111812,362649,628830,224916,18494.28846153846,584244,4623814,2862212,7280693,12606828,6898328,25550208,12786096,6753042,2301644,219222,8312582,795340,867219,525376,240891,891102,3132470,299548,1723270,409496,58657,2535750,275983,1021348,2655439,1290788,829908,1526162,936417,1959334,101574,65852.37078651685,1769023,3472238,1301698,1914794,920041,5921762,15080244,615774,2799686,819582,258372,8251894,550887,512788,186826,698271,958270,750387,97086,430877,807432,28596.455263157895,831970,5071.857142857143,679.5,7950.0,5248.0,7026.4,8818.57142857143,21044.5,16543.0,8445.333333333334,4073.4285714285716,30305.0,170881,90991.0,3499.0,35697.0,603739,90743,20299.0,371788,13453.0,20922.572815533982,272438,35947.4375,6176.75,11988.666666666666,6568.428571428572,18690.285714285714,18601.466666666667,2185.3333333333335,19609.1,81325,5816.074324324324,70027.375,633455,565350,373902,871448,616018,594374,135533,285028,317984,17764.97333333333,660815,443712,516408,146009,23708.0,378161,2113339,32551.0,947219,868813,22040.88888888889,1514837,418892,174445,24706.5,24752.0,93168.0,167690,4364.0,194865.0,462666,7803.475609756098,431011,34727.09090909091,4721.8,34744.142857142855,16573.0,91118,137890,66157.2,115347.8,96632,11366.596858638743,36768.5,1072949,1004028,919493,460815,829432,1861188,128164,472522,290407,45396,2631466
2012-05-01,991668,1061702,611369,80327,767522,627232,78115,680323,994697,45811.645161290326,927082,61193.0,582406,218516.0,76269.0,89237.0,581910,9894.0,341735.0,139263,10851.235294117647,751150,534311,303730,417626,697481,317602,1532468,1725443,982165,369644,25730.463157894737,792155,5399899,3967461,7584736,14029476,8189251,25502284,13682304,4813104,2058182,272686,8504433,877802,1046096,289769,162254,779626,3400182,325470,2259358,1248127,58615,6681912,472546,1549351,1057992,306966,354649,1707092,741176,3198300,105504,48856.4367816092,3300992,5084654,1544016,2686763,668328,5165294,20614730,439866,4405858,1260846,397488,10929903,586909,568629,274136,784428,954407,902838,141275,454665,767789,26944.42585551331,658431,6304.5,1850.0,0.0,0.0,8918.75,10114.42857142857,8170.5,1746.5,17291.0,2274.4,39520.6,142499,13211.0,6617.333333333333,68951.66666666667,669972,150770,52557.0,254235,41950.0,22945.78125,304587,27294.684210526317,6631.666666666667,7662.0,5680.125,17944.555555555555,20765.714285714286,14427.875,6992.5,127821,3422.8223684210525,38648.09090909091,666155,858998,714082,854490,649775,565874,175684,313252,314514,20099.753424657534,552272,547312,545865,138389,16643.5,618121,1341847,27971.5,280155,641201,23568.506024096387,1997828,391376,192060,14205.5,75761.0,139036.5,342478,5864.0,177335.0,453453,8881.72,241594,31632.18181818182,4448.0,15079.0,37169.5,104749,178389,35022.2,77328.0,117586,8147.641148325359,18431.8,965926,2098300,632778,239200,934532,2215922,202210,337894,284868,41469,2945175
2012-06-01,1213627,1059214,314969,181877,550264,233753,45364,405001,807950,42498.31746031746,905267,201106.0,2272742,177090.0,96351.0,132915.0,847063,30802.0,175458.0,228586,12876.805555555555,709620,530594,386286,415285,298548,372118,1389512,250986,989504,222552,39420.42857142857,1044045,4460620,4902716,6144898,15504179,4067444,22450742,10630904,4514250,1927478,251547,12010664,863044,2246761,430658,326682,736861,2654776,361412,1763221,753616,68198,4040850,438064,710236,1294488,398415,280061,1470749,788558,3236242,427230,73760.9540229885,3450342,6875043,1472940,2661756,577476,6713514,15837894,551822,3866052,1035893,327233,10037968,611482,497331,209842,670414,1178391,908303,124338,407979,655763,34368.13648293963,654109,6594.857142857143,0.0,1922.5,14050.0,9298.25,5026.375,8354.25,28541.0,8650.333333333334,2320.137931034483,47009.833333333336,190128,129681.0,20955.0,26714.0,631644,129519,46308.0,469044,95634.0,29225.151515151516,376006,26623.380952380954,7125.333333333333,7294.1,14362.142857142857,11518.555555555555,27760.30769230769,25175.428571428572,18880.583333333332,78757,5412.641891891892,53220.5,624162,878836,361472,1378368,520494,779053,247054,745646,755039,29579.169230769232,638732,580352,1102519,99730,73966.0,544364,2425177,37730.0,835257,346884,23555.80769230769,1763088,439036,151544,83365.5,45924.5,107701.0,180136,40803.0,275102.0,258414,13233.484848484848,277098,26055.545454545456,12443.75,13179.857142857143,29760.0,117749,139095,37938.4,52033.75,76074,12525.229166666666,28319.4,963230,1068016,807485,609464,683691,1783646,137784,825129,409333,50589,2802298
2012-07-01,873742,695995,445708,230320,564098,398049,145549,362137,619936,42486.76666666667,678363,106515.0,1694479,32924.5,158882.0,132755.0,768514,16268.0,428226.0,260771,18197.96875,813762,318672,757274,372462,535848,455554,1112872,550717,562834,169646,24521.533333333333,1584451,3876058,3544392,4456452,15950165,3149816,13745886,9765042,4492235,1056574,194795,8286163,856774,1149156,453384,313270,803412,4112227,302583,3344222,586696,81271,3812708,250756,1405750,449157,830504,455089,2918252,602730,5569415,252531,62791.92753623189,2576670,4330914,2588390,2542970,1513367,6261984,16765078,1139925,4612592,1558850,415984,22797034,479804,598676,174135,969884,898869,821989,100417,411388,696682,31387.949522510233,719065,7948.333333333333,7928.0,2580.0,8444.0,22702.5,7921.833333333333,1728.0,1461.0,180.66666666666666,1716.92,27459.8,69527,56178.0,8545.5,57535.5,838441,120547,33581.5,209086,24762.5,28708.943925233645,301951,33603.933333333334,25493.5,8064.555555555556,5381.571428571428,17382.916666666668,16530.0,14034.875,26567.454545454544,161089,4287.070063694267,33291.2,644018,967642,218383,2196322,561869,693628,461484,838901,249128,27075.688524590165,518211,411630,548941,278558,50608.5,924525,1967391,95051.0,497895,552066,23247.73076923077,1870595,363114,109694,16191.0,196406.0,169716.5,344739,8489.0,158744.0,519434,10035.384615384615,221678,43023.181818181816,2914.0,23475.666666666668,19238.4,76012,154225,43969.166666666664,25444.0,110524,8110.47465437788,23110.5,991876,3946934,478688,655460,618046,2503514,258912,474348,231102,52328,2049412
2012-08-01,1376311,858295,248038,192966,313150,324564,93029,214773,759866,35467.4375,318604,76716.5,934697,113580.0,62130.0,21193.5,557885,13418.0,183024.0,106549,8568.57142857143,544002,691209,440214,446595,341412,199559,920378,490218,1122691,330360,21638.724137931036,1455009,4503918,2049566,1062334,12784930,2603185,8388534,6853593,5934104,1650710,168565,7967084,1000938,1902717,317949,259641,614374,2573386,320582,3870777,842659,56621,2562615,569654,1017284,471246,391232,104358,652195,557947,1691232,212769,39352.71428571428,1858167,4642742,2458498,2992951,597251,7468720,10304381,454675,6248260,1631722,385272,30268770,525000,529550,152075,647143,854495,659705,84257,294427,651324,27958.654569892475,702879,6620.166666666667,0.0,229.0,8500.0,10395.666666666666,2262.1666666666665,3448.0,10711.0,682.0,2975.4583333333335,26630.6,79077,25531.333333333332,4657.0,117777.5,648362,102708,21699.5,271751,268361.0,24932.349056603773,371997,21623.235294117647,16326.0,7110.5,8742.0,17196.2,24512.0,8734.6,21378.555555555555,85264,7721.818791946309,55939.42857142857,828735,750088,282147,977052,764042,319744,99380,464223,273584,19998.73015873016,354638,741164,1004003,112409,135354.0,567323,2535693,70743.0,301994,345406,25903.13888888889,2949186,322910,276482,6775.0,100168.0,198590.0,380552,4891.0,107763.0,442580,8479.536231884058,331637,25848.636363636364,18660.0,14751.0,37200.0,85870,120763,16945.5,100788.2,85423,10412.497237569061,10332.0,1901789,1174742,478212,848682,1087918,1942164,172323,865858,422124,42710,2110366
2012-09-01,1261203,831606,154926,128017,492436,330270,99107,339292,1418465,37307.85964912281,686328,152404.0,3042221,87332.0,133885.0,86187.0,1624863,15747.0,521123.0,479761,16403.513157894737,2371660,463161,630779,971054,310277,225096,692290,245766,624904,163411,27321.344444444443,1547252,8870126,2698880,5688060,9914270,4290537,9387840,7516334,4909732,1479884,202090,7498857,2005830,1302642,918692,299655,1253859,3066596,228650,2219883,1495533,81224,3785722,624650,1261371,1383690,1265592,286827,1998048,497098,3061196,303762,69248.46590909091,4473810,5347300,3315970,3503077,1188040,10381732,18214717,792411,5845085,2259347,461679,24924399,509947,529155,227376,598092,954691,737538,127224,426697,588466,25850.898550724636,607192,10170.75,9947.0,1359.8,4070.0,9113.0,2093.285714285714,4206.5,340.0,600.5,3653.9,70080.25,92599,196030.0,4090.5,43660.5,420149,104230,37722.5,532608,15597.0,26823.67619047619,384441,38135.5625,10635.666666666666,9061.363636363636,7431.6,13636.125,26786.846153846152,7094.666666666667,34112.181818181816,136778,7269.066176470588,76459.125,627592,711567,301362,680633,778376,597890,58672,280908,373292,25351.854838709678,791386,604406,424376,473407,29538.0,1299004,1978096,37666.0,263585,685836,27976.2,1875682,342176,108271,33089.5,34949.0,61365.0,105640,25043.0,212866.0,482343,10129.30985915493,255261,29841.444444444445,14673.666666666666,26402.833333333332,40286.6,88822,122623,41734.5,82918.2,86172,8333.442211055277,17442.4,1675046,2984612,686010,837787,1602479,2276930,167474,886088,620488,61319,2848080
2012-10-01,1068048,805458,451214,88145,528832,618535,130001,466392,500820,42235.666666666664,874656,278583.5,2656307,99737.5,335836.0,331630.0,969290,37685.0,10628773.0,457222,40659.42857142857,3915548,494893,397191,621351,364306,244600,923717,281905,637183,477477,32609.508620689656,2175193,6615206,3442145,5941293,18422340,5511340,10831548,9735231,6481368,2722228,199673,10220590,1183516,2433376,874716,212041,873438,4782004,326675,5074345,1983683,76373,4120410,349214,913591,1073377,528902,515771,2880094,909899,1715914,453836,63206.58,3920436,11448602,4775146,10277207,983693,14346604,40676124,1014908,4272128,3603495,483879,22566010,537173,631456,150833,766851,1360257,1014735,155102,396602,693559,30638.138274336285,739942,8547.833333333334,8632.0,55.0,2982.0,10910.75,16068.666666666666,2401.0,6877.0,1086.0,4330.392857142857,53711.666666666664,154476,49702.5,17456.666666666668,103918.5,915574,179926,42136.0,378175,32940.5,37130.776,659015,46182.35294117647,5233.6,21721.69230769231,31799.5,12007.666666666666,37048.46666666667,23400.363636363636,31885.555555555555,176878,7557.862068965517,109382.63636363637,742070,690884,393310,928423,1031895,1077485,220038,328334,372373,17834.689655172413,723934,749895,902336,259093,39526.0,637797,3079178,51514.0,240245,469984,20245.25,1677074,312671,235173,65002.0,144873.0,43678.0,254253,11550.5,183660.0,52281,7851.2,532211,19965.0,5945.5,109270.57142857143,42004.5,168252,204007,162376.2,851755.1666666666,114896,9460.453389830509,9355.333333333334,1126168,1622996,1041056,548466,1185588,4426692,338410,548112,611661,66175,3652000
