,Symbol,Adj_Close,High,Low,Volume,Open,Date,Close
0,%5eFCHI,4446.959961,4469.899902,4424.600098,109101100,4424.600098,2016-07-27,4446.959961
1,%5eFCHI,4394.77002,4405.660156,4353.620117,88135600,4385.319824,2016-07-26,4394.77002
2,%5eFCHI,4388.00,4419.77002,4368.060059,77833000,4381.629883,2016-07-25,4388.00
3,%5eFCHI,4381.100098,4398.27002,4345.22998,71605600,4365.379883,2016-07-22,4381.100098
4,%5eFCHI,4376.25,4389.899902,4340.939941,89183000,4382.160156,2016-07-21,4376.25
5,%5eFCHI,4379.759766,4391.569824,4333.359863,84591000,4354.569824,2016-07-20,4379.759766
6,%5eFCHI,4330.129883,4357.339844,4304.200195,84731100,4345.399902,2016-07-19,4330.129883
7,%5eFCHI,4357.740234,4408.129883,4334.359863,70379900,4375.089844,2016-07-18,4357.740234
8,%5eFCHI,4372.509766,4383.689941,4342.77002,85684600,4367.430176,2016-07-15,4372.509766
9,%5eFCHI,4385.52002,4402.22998,4345.439941,93281800,4375.669922,2016-07-14,4385.52002
10,%5eFCHI,4335.259766,4358.669922,4321.899902,116377200,4329.529785,2016-07-13,4335.259766
11,%5eFCHI,4331.379883,4342.669922,4270.990234,129060400,4272.450195,2016-07-12,4331.379883
12,%5eFCHI,4264.529785,4271.709961,4207.370117,93378500,4221.220215,2016-07-11,4264.529785
13,%5eFCHI,4190.680176,4210.339844,4102.680176,112231900,4106.649902,2016-07-08,4190.680176
14,%5eFCHI,4117.850098,4167.879883,4110.240234,99510400,4115.50,2016-07-07,4117.850098
15,%5eFCHI,4085.300049,4153.410156,4062.070068,138773700,4127.200195,2016-07-06,4085.300049
16,%5eFCHI,4163.419922,4216.060059,4148.790039,111925400,4203.970215,2016-07-05,4163.419922
17,%5eFCHI,4234.859863,4288.660156,4233.00,000,4288.50,2016-07-04,4234.859863
18,%5eFCHI,4273.959961,4288.720215,4218.100098,116072800,4261.089844,2016-07-01,4273.959961
19,%5eFCHI,4237.47998,4249.529785,4155.450195,146298700,4182.109863,2016-06-30,4237.47998
20,%5eFCHI,4195.319824,4206.350098,4128.080078,142748500,4139.370117,2016-06-29,4195.319824
21,%5eFCHI,4088.850098,4119.080078,4059.899902,179309200,4074.360107,2016-06-28,4088.850098
22,%5eFCHI,4030.300049,4115.470215,4012.199951,130042900,4073.719971,2016-06-27,4030.300049
23,%5eFCHI,4106.72998,4198.899902,4007.969971,415775700,4114.580078,2016-06-24,4106.72998
24,%5eFCHI,4465.899902,4490.549805,4392.52002,124533400,4404.680176,2016-06-23,4465.899902
25,%5eFCHI,4380.029785,4416.97998,4372.350098,92072300,4398.399902,2016-06-22,4380.029785
26,%5eFCHI,4367.240234,4382.910156,4321.459961,99917600,4335.890137,2016-06-21,4367.240234
27,%5eFCHI,4340.759766,4351.209961,4292.919922,114524100,4301.189941,2016-06-20,4340.759766
28,%5eFCHI,4193.830078,4218.529785,4170.169922,196645100,4179.439941,2016-06-17,4193.830078
29,%5eFCHI,4153.009766,4162.370117,4109.819824,117520700,4116.50,2016-06-16,4153.009766
30,%5eFCHI,4171.580078,4204.009766,4162.02002,122586800,4172.72998,2016-06-15,4171.580078
31,%5eFCHI,4130.330078,4199.540039,4127.870117,136119700,4175.209961,2016-06-14,4130.330078
32,%5eFCHI,4227.02002,4275.970215,4227.02002,115884600,4253.97998,2016-06-13,4227.02002
33,%5eFCHI,4306.720215,4390.810059,4301.100098,119451700,4390.810059,2016-06-10,4306.720215
34,%5eFCHI,4405.609863,4438.379883,4394.52002,95370600,4437.02002,2016-06-09,4405.609863
35,%5eFCHI,4448.72998,4473.290039,4435.350098,93531800,4461.279785,2016-06-08,4448.72998
36,%5eFCHI,4475.859863,4486.470215,4441.209961,96308900,4443.410156,2016-06-07,4475.859863
