date;dengue_index
1/1/2010;0.169194109
1/2/2010;0.172350434
1/3/2010;0.174939783
1/4/2010;0.176244642
1/5/2010;0.176658068
1/6/2010;0.177815751
1/7/2010;0.17893075
1/8/2010;0.1813232
1/9/2010;0.182199531
1/10/2010;0.185091158
1/11/2010;0.185267748
1/12/2010;0.185894524
1/13/2010;0.18511499
1/14/2010;0.188080728
1/15/2010;0.190019472
1/16/2010;0.191997814
1/17/2010;0.194862129
1/18/2010;0.196803454
1/19/2010;0.197218385
1/20/2010;0.196870453
1/21/2010;0.198504808
1/22/2010;0.200411261
1/23/2010;0.201385508
1/24/2010;0.203207608
1/25/2010;0.203541215
1/26/2010;0.203857232
1/27/2010;0.20374399
1/28/2010;0.205554724
1/29/2010;0.201931512
1/30/2010;0.208608237
1/31/2010;0.210239827
2/1/2010;0.22855842
2/2/2010;0.229258133
2/3/2010;0.230824671
2/4/2010;0.232775458
2/5/2010;0.234969197
2/6/2010;0.236416417
2/7/2010;0.236512043
2/8/2010;0.236457484
2/9/2010;0.235225654
2/10/2010;0.23760222
2/11/2010;0.239340377
2/12/2010;0.237886386
2/13/2010;0.239991324
2/14/2010;0.241197983
2/15/2010;0.241177091
2/16/2010;0.239761276
2/17/2010;0.242866792
2/18/2010;0.245269906
2/19/2010;0.247315207
2/20/2010;0.249160264
2/21/2010;0.252137751
2/22/2010;0.253889393
2/23/2010;0.254570806
2/24/2010;0.256574776
2/25/2010;0.260480904
2/26/2010;0.262353367
2/27/2010;0.26448014
2/28/2010;0.26721738
3/1/2010;0.309640113
3/2/2010;0.312496155
3/3/2010;0.312466508
3/4/2010;0.312295152
3/5/2010;0.313671462
3/6/2010;0.313522907
3/7/2010;0.315861961
3/8/2010;0.321058797
3/9/2010;0.323515724
3/10/2010;0.325889196
3/11/2010;0.326473484
3/12/2010;0.326742995
3/13/2010;0.329990582
3/14/2010;0.333591114
3/15/2010;0.339309097
3/16/2010;0.341502919
3/17/2010;0.345371194
3/18/2010;0.344449201
3/19/2010;0.345550674
3/20/2010;0.346360475
