,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,%5eIXBK
1,/* nn4 hide */,%5eIXBK
2,/*/*/,%5eIXBK
3,body {font:small/1.2em arial,%5eIXBK
4,html>body {font:83%/1.2em arial,%5eIXBK
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},%5eIXBK
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},%5eIXBK
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},%5eIXBK
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},%5eIXBK
9,#s1p {width:15em;margin-right:.1em;},%5eIXBK
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},%5eIXBK
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},%5eIXBK
12,/* end nn4 hide */,%5eIXBK
13,</style></head>,%5eIXBK
14,"<body><div id=""doc"">",%5eIXBK
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",%5eIXBK
16,src=http://l.yimg.com/a/i/yahoo.gif,%5eIXBK
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",%5eIXBK
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",%5eIXBK
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",%5eIXBK
20,"<div id=""bd""><h1>Sorry",%5eIXBK
21,<p>Please check the URL for proper spelling and capitalization. If,%5eIXBK
22,you're having trouble locating a destination on Yahoo!,%5eIXBK
23,<strong><a,%5eIXBK
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",%5eIXBK
25,page</a></strong> or look through a list of <strong><a,%5eIXBK
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",%5eIXBK
27,online services</a></strong>. Also,%5eIXBK
28,if you try searching below.</p>,%5eIXBK
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",%5eIXBK
30,"<legend><label for=""s1p"">Search the Web</label></legend>",%5eIXBK
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",%5eIXBK
32,"<input type=""submit"" value=""Search"">",%5eIXBK
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",%5eIXBK
34,</fieldset></form>,%5eIXBK
35,"<p class=""more"">Please try <strong><a",%5eIXBK
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",%5eIXBK
37,Help Central</a></strong> if you need more assistance.</p>,%5eIXBK
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",%5eIXBK
39,All rights reserved. <a,%5eIXBK
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",%5eIXBK
41,Policy</a> - <a,%5eIXBK
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",%5eIXBK
43,of Service</a></p></div>,%5eIXBK
44,</div></body></html>,%5eIXBK
