,High,Low,Close,Symbol,Adj_Close,Date,Open,Volume
0,6.79,6.60,6.72,600423.SS,6.72,2016-07-28,6.70,11556100
1,7.21,6.77,6.78,600423.SS,6.78,2016-07-27,7.21,22279100
2,7.40,6.74,7.21,600423.SS,7.21,2016-07-26,6.80,33270600
3,6.84,6.71,6.79,600423.SS,6.79,2016-07-25,6.81,11776800
4,6.94,6.79,6.81,600423.SS,6.81,2016-07-22,6.92,6631600
5,6.94,6.85,6.89,600423.SS,6.89,2016-07-21,6.91,7939300
6,7.00,6.84,6.90,600423.SS,6.90,2016-07-20,6.87,13348900
7,6.97,6.66,6.89,600423.SS,6.89,2016-07-19,6.72,14545100
8,6.82,6.65,6.72,600423.SS,6.72,2016-07-18,6.82,7012100
9,6.86,6.77,6.79,600423.SS,6.79,2016-07-15,6.78,7590600
10,6.85,6.73,6.78,600423.SS,6.78,2016-07-14,6.85,10887800
11,6.86,6.75,6.85,600423.SS,6.85,2016-07-13,6.82,11305600
12,6.85,6.56,6.82,600423.SS,6.82,2016-07-12,6.84,12289400
13,6.96,6.79,6.82,600423.SS,6.82,2016-07-11,6.95,11757200
14,7.02,6.87,6.91,600423.SS,6.91,2016-07-08,6.97,9370000
15,7.17,6.90,6.97,600423.SS,6.97,2016-07-07,6.96,18292500
16,6.99,6.70,6.96,600423.SS,6.96,2016-07-06,6.83,15841100
17,6.85,6.70,6.83,600423.SS,6.83,2016-07-05,6.73,15648900
18,6.79,6.57,6.73,600423.SS,6.73,2016-07-04,6.63,15704800
19,6.78,6.63,6.66,600423.SS,6.66,2016-07-01,6.72,12035900
20,6.71,6.54,6.70,600423.SS,6.70,2016-06-30,6.64,13338400
21,6.67,6.51,6.62,600423.SS,6.62,2016-06-29,6.60,17235300
22,6.68,6.32,6.64,600423.SS,6.64,2016-06-28,6.32,25280900
23,6.35,6.35,6.35,600423.SS,6.35,2016-06-27,6.35,000
24,6.60,6.17,6.35,600423.SS,6.35,2016-06-24,6.54,22167500
25,6.69,6.50,6.56,600423.SS,6.56,2016-06-23,6.54,21457000
26,6.76,6.46,6.62,600423.SS,6.62,2016-06-22,6.55,40582000
27,7.20,6.46,6.90,600423.SS,6.90,2016-06-21,6.46,77217700
28,7.18,7.18,7.18,600423.SS,7.18,2016-06-20,7.18,2968200
29,8.39,7.96,7.98,600423.SS,7.98,2016-06-17,8.22,10504200
30,8.60,8.14,8.22,600423.SS,8.22,2016-06-16,8.60,12963900
31,8.60,8.25,8.58,600423.SS,8.58,2016-06-15,8.39,9828100
32,8.60,8.18,8.42,600423.SS,8.42,2016-06-14,8.55,7937300
33,9.20,8.70,8.70,600423.SS,8.70,2016-06-13,8.80,10386000
34,8.95,8.95,8.95,600423.SS,8.95,2016-06-10,8.95,000
35,8.95,8.95,8.95,600423.SS,8.95,2016-06-09,8.95,000
36,9.00,8.74,8.95,600423.SS,8.95,2016-06-08,8.91,4520500
37,9.00,8.80,8.94,600423.SS,8.94,2016-06-07,8.97,5118200
38,9.20,8.86,9.01,600423.SS,9.01,2016-06-06,9.10,7028600
39,9.48,9.14,9.19,600423.SS,9.19,2016-06-03,9.39,9703200
40,9.42,9.01,9.40,600423.SS,9.40,2016-06-02,9.16,8889800
41,9.24,9.00,9.15,600423.SS,9.15,2016-06-01,9.11,9148400
42,9.25,8.88,9.16,600423.SS,9.16,2016-05-31,8.89,11088600
43,9.20,8.84,8.96,600423.SS,8.96,2016-05-30,9.20,4910400
44,9.30,8.94,9.04,600423.SS,9.04,2016-05-27,9.15,8292200
45,9.17,8.71,9.15,600423.SS,9.15,2016-05-26,9.08,7128400
46,9.19,8.85,9.07,600423.SS,9.07,2016-05-25,9.04,6894900
47,9.41,8.91,9.00,600423.SS,9.00,2016-05-24,9.07,11617300
48,9.06,8.58,9.03,600423.SS,9.03,2016-05-23,8.58,11895100
49,8.65,8.22,8.60,600423.SS,8.60,2016-05-20,8.37,5913500
50,8.45,8.18,8.41,600423.SS,8.41,2016-05-19,8.30,5810300
51,8.53,8.10,8.30,600423.SS,8.30,2016-05-18,8.53,9185200
52,8.70,8.42,8.57,600423.SS,8.57,2016-05-17,8.54,6018400
53,8.77,8.10,8.62,600423.SS,8.62,2016-05-16,8.12,9913700
54,8.35,8.01,8.26,600423.SS,8.26,2016-05-13,8.14,7964100
55,8.45,7.80,8.16,600423.SS,8.16,2016-05-12,8.07,11709500
56,8.50,7.75,8.20,600423.SS,8.20,2016-05-11,7.90,13898400
57,8.03,7.01,8.02,600423.SS,8.02,2016-05-10,7.40,18480500
58,8.11,7.37,7.48,600423.SS,7.48,2016-05-09,8.11,15848700
59,8.86,8.10,8.12,600423.SS,8.12,2016-05-06,8.82,13777700
60,8.98,8.69,8.83,600423.SS,8.83,2016-05-05,8.77,9283800
61,8.85,8.66,8.78,600423.SS,8.78,2016-05-04,8.75,8496100
62,8.88,8.52,8.76,600423.SS,8.76,2016-05-03,8.78,10699500
63,8.67,8.67,8.67,600423.SS,8.67,2016-05-02,8.67,000
64,8.83,8.21,8.67,600423.SS,8.67,2016-04-29,8.29,16448300
65,8.85,8.10,8.36,600423.SS,8.36,2016-04-28,8.76,25472300
66,9.17,8.79,8.91,600423.SS,8.91,2016-04-27,8.90,27288500
67,9.50,9.00,9.04,600423.SS,9.04,2016-04-26,9.39,31493500
68,10.00,10.00,10.00,600423.SS,10.00,2016-04-25,10.00,000
69,10.00,10.00,10.00,600423.SS,10.00,2016-04-22,10.00,000
70,10.00,10.00,10.00,600423.SS,10.00,2016-04-21,10.00,000
71,10.00,10.00,10.00,600423.SS,10.00,2016-04-20,10.00,000
72,10.00,10.00,10.00,600423.SS,10.00,2016-04-19,10.00,000
73,10.00,10.00,10.00,600423.SS,10.00,2016-04-18,10.00,000
74,10.00,10.00,10.00,600423.SS,10.00,2016-04-15,10.00,000
75,10.00,10.00,10.00,600423.SS,10.00,2016-04-14,10.00,000
76,10.00,10.00,10.00,600423.SS,10.00,2016-04-13,10.00,000
77,10.00,10.00,10.00,600423.SS,10.00,2016-04-12,10.00,000
78,10.13,9.20,10.00,600423.SS,10.00,2016-04-11,9.20,20352000
79,9.39,9.01,9.21,600423.SS,9.21,2016-04-08,9.11,6783600
80,9.53,9.04,9.18,600423.SS,9.18,2016-04-07,9.52,15428300
81,9.77,9.35,9.51,600423.SS,9.51,2016-04-06,9.48,13317600
82,9.79,9.10,9.50,600423.SS,9.50,2016-04-05,9.13,16772500
83,9.26,9.26,9.26,600423.SS,9.26,2016-04-04,9.26,000
84,9.37,8.85,9.26,600423.SS,9.26,2016-04-01,8.92,13164600
85,9.16,8.85,9.05,600423.SS,9.05,2016-03-31,9.11,13181800
86,9.29,8.82,9.10,600423.SS,9.10,2016-03-30,8.92,13954200
87,9.09,8.55,8.89,600423.SS,8.89,2016-03-29,9.08,18278000
88,9.25,8.56,9.13,600423.SS,9.13,2016-03-28,8.56,23498500
89,8.60,8.05,8.54,600423.SS,8.54,2016-03-25,8.09,13166500
90,8.47,8.04,8.11,600423.SS,8.11,2016-03-24,8.16,10544800
91,8.22,8.01,8.21,600423.SS,8.21,2016-03-23,8.12,8732900
92,8.49,8.01,8.20,600423.SS,8.20,2016-03-22,8.10,15114200
93,8.30,8.05,8.22,600423.SS,8.22,2016-03-21,8.26,14648000
94,8.28,8.03,8.17,600423.SS,8.17,2016-03-18,8.15,14872000
95,8.25,7.86,8.12,600423.SS,8.12,2016-03-17,7.90,17881200
96,8.31,7.70,7.90,600423.SS,7.90,2016-03-16,7.82,20504900
97,8.10,7.73,7.76,600423.SS,7.76,2016-03-15,7.99,27409900
98,7.76,7.11,7.76,600423.SS,7.76,2016-03-14,7.14,13326500
99,7.12,6.89,7.05,600423.SS,7.05,2016-03-11,6.89,6529100
100,7.27,6.96,7.01,600423.SS,7.01,2016-03-10,6.97,8462200
101,7.36,7.00,7.04,600423.SS,7.04,2016-03-09,7.29,16326500
102,7.65,7.12,7.49,600423.SS,7.49,2016-03-08,7.48,29513900
103,7.79,6.83,7.64,600423.SS,7.64,2016-03-07,7.00,40819200
104,7.22,6.56,7.22,600423.SS,7.22,2016-03-04,6.63,40271000
105,6.70,6.51,6.56,600423.SS,6.56,2016-03-03,6.58,9998300
106,6.73,6.20,6.61,600423.SS,6.61,2016-03-02,6.28,12289900
107,6.35,6.00,6.26,600423.SS,6.26,2016-03-01,6.17,10937100
108,6.65,6.03,6.20,600423.SS,6.20,2016-02-29,6.63,15639300
109,6.94,6.21,6.70,600423.SS,6.70,2016-02-26,6.40,18918200
110,7.17,6.15,6.32,600423.SS,6.32,2016-02-25,6.73,21407500
111,6.87,6.55,6.75,600423.SS,6.75,2016-02-24,6.69,14216600
112,6.85,6.19,6.82,600423.SS,6.82,2016-02-23,6.20,24596800
113,6.28,6.03,6.23,600423.SS,6.23,2016-02-22,6.04,16577700
114,6.02,5.88,5.99,600423.SS,5.99,2016-02-19,5.93,6587700
115,6.09,5.93,5.96,600423.SS,5.96,2016-02-18,6.07,7463100
116,6.05,5.80,6.00,600423.SS,6.00,2016-02-17,5.87,6674600
117,5.97,5.68,5.92,600423.SS,5.92,2016-02-16,5.71,9332500
118,5.71,5.38,5.69,600423.SS,5.69,2016-02-15,5.44,7196100
119,5.67,5.67,5.67,600423.SS,5.67,2016-02-12,5.67,000
120,5.67,5.67,5.67,600423.SS,5.67,2016-02-11,5.67,000
121,5.67,5.67,5.67,600423.SS,5.67,2016-02-10,5.67,000
122,5.67,5.67,5.67,600423.SS,5.67,2016-02-09,5.67,000
123,5.67,5.67,5.67,600423.SS,5.67,2016-02-08,5.67,000
124,5.85,5.61,5.67,600423.SS,5.67,2016-02-05,5.69,7111500
125,5.74,5.48,5.67,600423.SS,5.67,2016-02-04,5.48,10222000
126,5.49,5.30,5.46,600423.SS,5.46,2016-02-03,5.46,8322900
127,5.52,5.29,5.48,600423.SS,5.48,2016-02-02,5.32,11443200
128,5.38,5.16,5.30,600423.SS,5.30,2016-02-01,5.25,9842000
129,5.48,5.00,5.41,600423.SS,5.41,2016-01-29,5.25,13214000
130,5.55,5.22,5.25,600423.SS,5.25,2016-01-28,5.42,5339000
131,5.64,5.17,5.47,600423.SS,5.47,2016-01-27,5.60,7750100
132,6.15,5.56,5.59,600423.SS,5.59,2016-01-26,6.10,9813100
133,6.26,6.06,6.18,600423.SS,6.18,2016-01-25,6.14,5188500
134,6.14,5.76,6.07,600423.SS,6.07,2016-01-22,6.07,7970500
135,6.33,5.95,5.96,600423.SS,5.96,2016-01-21,6.15,7699600
136,6.43,6.08,6.29,600423.SS,6.29,2016-01-20,6.10,11584200
137,6.20,5.82,6.14,600423.SS,6.14,2016-01-19,5.93,10921500
138,6.05,5.60,5.91,600423.SS,5.91,2016-01-18,5.65,6844600
139,6.22,5.70,5.80,600423.SS,5.80,2016-01-15,6.21,10383000
140,6.43,5.70,6.27,600423.SS,6.27,2016-01-14,5.77,14450600
141,6.60,5.98,6.03,600423.SS,6.03,2016-01-13,6.60,6396700
142,6.60,6.21,6.40,600423.SS,6.40,2016-01-12,6.46,6388400
143,7.12,6.45,6.45,600423.SS,6.45,2016-01-11,7.00,11917500
144,7.51,6.65,7.17,600423.SS,7.17,2016-01-08,7.41,14255300
145,7.80,7.13,7.13,600423.SS,7.13,2016-01-07,7.80,4007800
146,7.99,7.50,7.92,600423.SS,7.92,2016-01-06,7.52,13876100
147,7.74,6.99,7.56,600423.SS,7.56,2016-01-05,6.99,16011800
148,8.66,7.74,7.76,600423.SS,7.76,2016-01-04,8.65,9051500
149,8.60,8.60,8.60,600423.SS,8.60,2016-01-01,8.60,000
150,8.93,8.58,8.60,600423.SS,8.60,2015-12-31,8.85,10550300
151,9.14,8.80,8.90,600423.SS,8.90,2015-12-30,9.10,16982700
152,9.12,8.24,9.11,600423.SS,9.11,2015-12-29,8.46,23752900
153,9.08,8.32,8.35,600423.SS,8.35,2015-12-28,8.96,21401800
154,9.10,8.80,8.99,600423.SS,8.99,2015-12-25,8.99,15722500
155,9.15,8.74,9.01,600423.SS,9.01,2015-12-24,8.90,24080600
156,9.26,8.91,8.97,600423.SS,8.97,2015-12-23,9.26,30020600
157,9.48,9.14,9.37,600423.SS,9.37,2015-12-22,9.48,50182400
158,9.52,8.83,9.52,600423.SS,9.52,2015-12-21,8.93,60144200
159,8.65,8.15,8.65,600423.SS,8.65,2015-12-18,8.15,22668000
160,7.90,7.67,7.86,600423.SS,7.86,2015-12-17,7.67,11546300
161,7.85,7.59,7.66,600423.SS,7.66,2015-12-16,7.65,7735500
162,7.76,7.53,7.60,600423.SS,7.60,2015-12-15,7.53,6957700
163,7.53,7.18,7.51,600423.SS,7.51,2015-12-14,7.20,6027300
164,7.70,7.32,7.36,600423.SS,7.36,2015-12-11,7.64,8504300
165,7.97,7.66,7.66,600423.SS,7.66,2015-12-10,7.71,10027000
