,exog_1,exog_2,exog_3,exog_4,exog_5,exog_6,exog_7,exog_8,exog_9,exog_10,Date
0,AE,0,0,0,0,0,0,0,0,0,2000-01-01 00:00:00
1,0,AE,AE,0,0,0,0,0,0,0,2000-01-01 01:00:00
2,0,AD,0,0,0,0,0,0,0,0,2000-01-01 02:00:00
3,0,0,AF,0,0,0,0,0,0,0,2000-01-01 03:00:00
4,AD,0,0,0,0,0,0,0,0,0,2000-01-01 04:00:00
5,0,AE,0,0,0,0,0,0,0,0,2000-01-01 05:00:00
6,AD,AD,0,0,0,0,0,0,0,0,2000-01-01 06:00:00
7,AE,AE,0,0,0,0,0,0,0,0,2000-01-01 07:00:00
8,AE,0,0,0,0,0,0,0,0,0,2000-01-01 08:00:00
9,0,0,0,0,0,0,0,0,0,0,2000-01-01 09:00:00
10,0,0,0,0,0,0,0,0,0,0,2000-01-01 10:00:00
11,AD,0,0,0,0,0,0,0,0,0,2000-01-01 11:00:00
12,AD,AD,0,0,0,0,0,0,0,0,2000-01-01 12:00:00
13,0,0,AF,0,0,0,0,0,0,0,2000-01-01 13:00:00
14,0,AD,0,0,0,0,0,0,0,0,2000-01-01 14:00:00
15,0,AE,0,0,0,0,0,0,0,0,2000-01-01 15:00:00
16,0,0,0,0,0,0,0,0,0,0,2000-01-01 16:00:00
17,0,AF,AF,0,0,0,0,0,0,0,2000-01-01 17:00:00
18,AE,AE,AE,0,0,0,0,0,0,0,2000-01-01 18:00:00
19,AE,0,0,0,0,0,0,0,0,0,2000-01-01 19:00:00
20,AD,AD,0,0,0,0,0,0,0,0,2000-01-01 20:00:00
21,0,0,AF,0,0,0,0,0,0,0,2000-01-01 21:00:00
22,0,0,AF,0,0,0,0,0,0,0,2000-01-01 22:00:00
23,0,AD,0,0,0,0,0,0,0,0,2000-01-01 23:00:00
24,AE,0,0,0,0,0,0,0,0,0,2000-01-02 00:00:00
25,AD,AD,0,0,0,0,0,0,0,0,2000-01-02 01:00:00
26,0,0,0,0,0,0,0,0,0,0,2000-01-02 02:00:00
27,0,AE,0,0,0,0,0,0,0,0,2000-01-02 03:00:00
28,0,0,0,0,0,0,0,0,0,0,2000-01-02 04:00:00
29,0,0,0,0,0,0,0,0,0,0,2000-01-02 05:00:00
30,0,AE,0,0,0,0,0,0,0,0,2000-01-02 06:00:00
31,AC,0,0,0,0,0,0,0,0,0,2000-01-02 07:00:00
32,0,AE,0,0,0,0,0,0,0,0,2000-01-02 08:00:00
33,AE,AE,0,0,0,0,0,0,0,0,2000-01-02 09:00:00
34,0,AD,0,0,0,0,0,0,0,0,2000-01-02 10:00:00
35,0,0,0,0,0,0,0,0,0,0,2000-01-02 11:00:00
36,0,0,AE,0,0,0,0,0,0,0,2000-01-02 12:00:00
37,AD,0,0,0,0,0,0,0,0,0,2000-01-02 13:00:00
38,AD,AD,0,0,0,0,0,0,0,0,2000-01-02 14:00:00
39,0,0,0,0,0,0,0,0,0,0,2000-01-02 15:00:00
40,0,0,0,0,0,0,0,0,0,0,2000-01-02 16:00:00
41,0,0,0,0,0,0,0,0,0,0,2000-01-02 17:00:00
42,0,0,0,0,0,0,0,0,0,0,2000-01-02 18:00:00
43,AD,0,0,0,0,0,0,0,0,0,2000-01-02 19:00:00
44,AD,0,0,0,0,0,0,0,0,0,2000-01-02 20:00:00
45,0,0,0,0,0,0,0,0,0,0,2000-01-02 21:00:00
46,AE,AE,AE,0,0,0,0,0,0,0,2000-01-02 22:00:00
47,0,0,0,0,0,0,0,0,0,0,2000-01-02 23:00:00
48,0,0,0,0,0,0,0,0,0,0,2000-01-03 00:00:00
49,AE,AE,0,0,0,0,0,0,0,0,2000-01-03 01:00:00
50,0,AF,0,0,0,0,0,0,0,0,2000-01-03 02:00:00
51,AE,0,0,0,0,0,0,0,0,0,2000-01-03 03:00:00
52,AD,0,0,0,0,0,0,0,0,0,2000-01-03 04:00:00
53,0,AD,0,0,0,0,0,0,0,0,2000-01-03 05:00:00
54,0,0,0,0,0,0,0,0,0,0,2000-01-03 06:00:00
55,0,AD,0,0,0,0,0,0,0,0,2000-01-03 07:00:00
56,0,AD,0,0,0,0,0,0,0,0,2000-01-03 08:00:00
57,AE,0,0,0,0,0,0,0,0,0,2000-01-03 09:00:00
58,0,0,AE,0,0,0,0,0,0,0,2000-01-03 10:00:00
59,0,AF,0,0,0,0,0,0,0,0,2000-01-03 11:00:00
60,0,AE,0,0,0,0,0,0,0,0,2000-01-03 12:00:00
61,0,0,0,0,0,0,0,0,0,0,2000-01-03 13:00:00
62,0,0,0,0,0,0,0,0,0,0,2000-01-03 14:00:00
63,AD,0,0,0,0,0,0,0,0,0,2000-01-03 15:00:00
64,AE,AE,0,0,0,0,0,0,0,0,2000-01-03 16:00:00
65,AE,0,0,0,0,0,0,0,0,0,2000-01-03 17:00:00
66,AD,AD,0,0,0,0,0,0,0,0,2000-01-03 18:00:00
67,AE,AE,0,0,0,0,0,0,0,0,2000-01-03 19:00:00
68,AD,0,0,0,0,0,0,0,0,0,2000-01-03 20:00:00
69,AE,0,AE,0,0,0,0,0,0,0,2000-01-03 21:00:00
70,0,0,0,0,0,0,0,0,0,0,2000-01-03 22:00:00
71,AD,0,0,0,0,0,0,0,0,0,2000-01-03 23:00:00
72,AE,AE,AE,0,0,0,0,0,0,0,2000-01-04 00:00:00
73,0,AD,0,0,0,0,0,0,0,0,2000-01-04 01:00:00
74,0,AF,0,0,0,0,0,0,0,0,2000-01-04 02:00:00
