"time","signal"
1,22262
1.00297619047619,21756
1.00595238095238,22247
1.00892857142857,22759
1.01190476190476,22549
1.01488095238095,22313
1.01785714285714,22128
1.02083333333333,21860
1.02380952380952,21751
1.02678571428571,21336
1.0297619047619,21363
1.0327380952381,22176
1.03571428571429,24649
1.03869047619048,27466
1.04166666666667,31020
1.04464285714286,33529
1.04761904761905,35428
1.05059523809524,36034
1.05357142857143,36834
1.05654761904762,37296
1.05952380952381,37338
1.0625,37608
1.06547619047619,37692
1.06845238095238,37944
1.07142857142857,37880
1.07440476190476,37493
1.07738095238095,37065
1.08035714285714,36855
1.08333333333333,36871
1.08630952380952,36837
1.08928571428571,36603
1.0922619047619,36982
1.0952380952381,37369
1.09821428571429,37650
1.10119047619048,37413
1.10416666666667,36475
1.10714285714286,35486
1.11011904761905,34452
1.11309523809524,33704
1.11607142857143,32883
1.11904761904762,31940
1.12202380952381,32215
1.125,32572
1.12797619047619,32850
1.13095238095238,32251
1.13392857142857,30895
1.13690476190476,28460
1.13988095238095,26572
1.14285714285714,25093
1.14583333333333,24320
1.14880952380952,24684
1.15178571428571,25338
1.1547619047619,24943
1.1577380952381,24637
1.16071428571429,24424
1.16369047619048,24163
1.16666666666667,23943
1.16964285714286,23324
1.17261904761905,23412
1.17559523809524,24065
1.17857142857143,26035
1.18154761904762,28632
1.18452380952381,32023
1.1875,34315
1.19047619047619,35927
1.19345238095238,36367
1.19642857142857,37087
1.19940476190476,37184
1.20238095238095,37009
1.20535714285714,37212
1.20833333333333,37531
1.21130952380952,37890
1.21428571428571,37982
1.2172619047619,37540
1.2202380952381,37160
1.22321428571429,36920
1.22619047619048,37060
1.22916666666667,36930
1.23214285714286,36640
1.23511904761905,36910
1.23809523809524,37220
1.24107142857143,37530
1.24404761904762,37320
1.24702380952381,36331
1.25,35206
1.25297619047619,34203
1.25595238095238,33273
1.25892857142857,32376
1.26190476190476,31838
1.26488095238095,31211
1.26785714285714,31505
1.27083333333333,31838
1.27380952380952,32185
1.27678571428571,30881
1.2797619047619,28800
1.2827380952381,26833
1.28571428571429,25095
1.28869047619048,24437
1.29166666666667,24697
1.29464285714286,25259
1.29761904761905,25029
1.30059523809524,24806
1.30357142857143,24437
1.30654761904762,24279
1.30952380952381,23902
1.3125,23418
1.31547619047619,23424
1.31845238095238,24094
1.32142857142857,26039
1.32440476190476,28636
1.32738095238095,32034
1.33035714285714,34235
1.33333333333333,35694
1.33630952380952,35978
1.33928571428571,36475
1.3422619047619,36675
1.3452380952381,36720
1.34821428571429,36842
1.35119047619048,36890
1.35416666666667,36917
1.35714285714286,36854
1.36011904761905,36525
1.36309523809524,36431
1.36607142857143,36212
1.36904761904762,36061
1.37202380952381,35931
1.375,35835
1.37797619047619,36148
1.38095238095238,36523
1.38392857142857,36859
1.38690476190476,36731
1.38988095238095,35804
1.39285714285714,34721
1.39583333333333,34035
1.39880952380952,33234
1.40178571428571,32532
1.4047619047619,31474
1.4077380952381,31957
1.41071428571429,32500
1.41369047619048,32586
1.41666666666667,31917
1.41964285714286,30636
1.42261904761905,28705
1.42559523809524,26707
1.42857142857143,25092
1.43154761904762,24412
1.43452380952381,24714
1.4375,25079
1.44047619047619,24904
1.44345238095238,24380
1.44642857142857,24009
1.44940476190476,23913
1.45238095238095,23657
1.45535714285714,23262
1.45833333333333,23283
1.46130952380952,23870
1.46428571428571,26001
1.4672619047619,28448
1.4702380952381,31876
1.47321428571429,34363
1.47619047619048,35819
1.47916666666667,36295
1.48214285714286,36949
1.48511904761905,37095
1.48809523809524,37086
1.49107142857143,37520
1.49404761904762,37540
1.49702380952381,37671
1.5,37695
1.50297619047619,37314
1.50595238095238,37113
1.50892857142857,36796
1.51190476190476,36705
1.51488095238095,36634
1.51785714285714,36357
1.52083333333333,36664
1.52380952380952,37020
1.52678571428571,37152
1.5297619047619,36836
1.5327380952381,36008
1.53571428571429,34981
1.53869047619048,34265
1.54166666666667,33385
1.54464285714286,32477
1.54761904761905,31966
1.55059523809524,31402
1.55357142857143,31703
1.55654761904762,32192
1.55952380952381,32322
1.5625,30972
1.56547619047619,28910
1.56845238095238,26992
1.57142857142857,25324
1.57440476190476,24684
1.57738095238095,24893
1.58035714285714,25092
1.58333333333333,24751
1.58630952380952,24238
1.58928571428571,23906
1.5922619047619,23755
1.5952380952381,23625
1.59821428571429,23027
1.60119047619048,23097
1.60416666666667,23692
1.60714285714286,25936
1.61011904761905,28501
1.61309523809524,31838
1.61607142857143,34308
1.61904761904762,36305
1.62202380952381,36743
1.625,37705
1.62797619047619,37980
1.63095238095238,38084
1.63392857142857,38379
1.63690476190476,38526
1.63988095238095,38429
1.64285714285714,38344
1.64583333333333,37785
1.64880952380952,37495
