,exog_1,exog_2,exog_3,exog_4,exog_5,exog_6,exog_7,exog_8,exog_9,exog_10,Date
0,AC,0,0,0,0,0,0,0,0,0,2000-01-01
1,AD,0,0,0,0,0,0,0,0,0,2000-01-02
2,0,0,0,0,0,0,0,0,0,0,2000-01-03
3,AE,0,0,0,0,0,0,0,0,0,2000-01-04
4,AD,0,0,0,0,0,0,0,0,0,2000-01-05
5,AD,0,0,0,0,0,0,0,0,0,2000-01-06
6,AD,0,0,0,0,0,0,0,0,0,2000-01-07
7,AD,0,0,0,0,0,0,0,0,0,2000-01-08
8,AE,AE,0,0,0,0,0,0,0,0,2000-01-09
9,0,0,0,0,0,0,0,0,0,0,2000-01-10
10,0,0,0,0,0,0,0,0,0,0,2000-01-11
11,0,AD,0,0,0,0,0,0,0,0,2000-01-12
12,0,0,0,0,0,0,0,0,0,0,2000-01-13
13,AE,0,0,0,0,0,0,0,0,0,2000-01-14
14,AE,0,0,0,0,0,0,0,0,0,2000-01-15
15,AD,0,0,0,0,0,0,0,0,0,2000-01-16
16,AE,0,0,0,0,0,0,0,0,0,2000-01-17
17,0,AF,0,0,0,0,0,0,0,0,2000-01-18
18,AE,AE,AE,0,0,0,0,0,0,0,2000-01-19
19,AE,AE,0,0,0,0,0,0,0,0,2000-01-20
20,0,0,0,AF,0,0,0,0,0,0,2000-01-21
21,0,AF,0,0,0,0,0,0,0,0,2000-01-22
22,0,0,AG,0,0,0,0,0,0,0,2000-01-23
23,0,0,AG,AG,0,0,0,0,0,0,2000-01-24
24,0,0,0,0,0,0,0,0,0,0,2000-01-25
25,0,0,0,0,0,0,0,0,0,0,2000-01-26
26,0,AE,AE,0,0,0,0,0,0,0,2000-01-27
27,0,0,AG,0,0,0,0,0,0,0,2000-01-28
28,0,AF,0,0,0,0,0,0,0,0,2000-01-29
29,0,0,0,AH,AH,0,0,0,0,0,2000-01-30
30,0,0,0,0,0,0,0,0,0,0,2000-01-31
31,0,0,AH,0,AH,0,0,0,0,0,2000-02-01
32,0,AF,0,AF,0,0,0,0,0,0,2000-02-02
33,0,0,AG,AG,0,0,0,0,0,0,2000-02-03
34,0,0,AF,0,0,0,0,0,0,0,2000-02-04
35,0,0,AG,0,0,0,0,0,0,0,2000-02-05
36,0,0,0,0,0,0,0,0,0,0,2000-02-06
37,0,0,0,AH,0,0,0,0,0,0,2000-02-07
38,0,0,AG,AG,0,0,0,0,0,0,2000-02-08
39,0,0,AF,0,0,0,0,0,0,0,2000-02-09
40,0,0,0,0,0,0,0,0,0,0,2000-02-10
41,0,0,0,AH,AH,0,0,0,0,0,2000-02-11
42,0,0,0,0,0,0,0,0,0,0,2000-02-12
43,0,0,0,AH,0,0,0,0,0,0,2000-02-13
44,0,0,0,AI,0,AI,0,0,0,0,2000-02-14
45,0,0,0,AH,0,0,0,0,0,0,2000-02-15
46,0,0,0,0,AI,0,0,0,0,0,2000-02-16
47,0,0,0,0,AI,AI,0,0,0,0,2000-02-17
48,0,0,0,AH,0,0,0,0,0,0,2000-02-18
49,0,0,0,0,AI,0,0,0,0,0,2000-02-19
50,0,0,0,0,0,AI,0,0,0,0,2000-02-20
51,0,0,AG,AG,AG,0,0,0,0,0,2000-02-21
52,0,0,0,AI,0,AI,0,0,0,0,2000-02-22
53,0,0,0,0,AH,0,0,0,0,0,2000-02-23
54,0,0,0,0,0,AI,0,0,0,0,2000-02-24
55,0,0,0,AI,AI,AI,0,0,0,0,2000-02-25
56,0,0,0,AH,0,0,0,0,0,0,2000-02-26
57,0,0,0,0,0,0,AJ,0,0,0,2000-02-27
58,0,0,0,0,0,0,0,0,0,0,2000-02-28
59,0,0,0,AI,0,AI,0,0,0,0,2000-02-29
60,0,0,0,0,0,0,AJ,0,0,0,2000-03-01
61,0,0,0,0,0,AJ,0,0,0,0,2000-03-02
62,0,0,0,0,0,0,0,0,0,0,2000-03-03
63,0,0,0,0,AJ,AJ,AJ,0,0,0,2000-03-04
64,0,0,0,0,AI,0,0,0,0,0,2000-03-05
65,0,0,0,0,0,0,0,AL,0,0,2000-03-06
66,0,0,0,0,AJ,AJ,AJ,0,0,0,2000-03-07
67,0,0,0,0,0,0,0,AK,0,0,2000-03-08
68,0,0,0,0,AJ,0,0,0,0,0,2000-03-09
69,0,0,0,0,0,AK,AK,0,0,0,2000-03-10
70,0,0,0,0,0,0,AL,AL,0,0,2000-03-11
71,0,0,0,0,0,0,AL,0,0,0,2000-03-12
72,0,0,0,0,AI,0,0,0,0,0,2000-03-13
73,0,0,0,0,0,0,0,AK,0,0,2000-03-14
74,0,0,0,0,0,0,AL,0,0,0,2000-03-15
75,0,0,0,0,AJ,AJ,0,0,0,0,2000-03-16
76,0,0,0,0,AJ,AJ,0,0,0,0,2000-03-17
77,0,0,0,0,0,AJ,0,0,0,0,2000-03-18
78,0,0,0,0,0,0,AJ,0,0,0,2000-03-19
79,0,0,0,0,0,0,AM,0,AM,0,2000-03-20
80,0,0,0,0,0,0,0,AL,AL,0,2000-03-21
81,0,0,0,0,0,AK,AK,AK,0,0,2000-03-22
82,0,0,0,0,0,AK,AK,AK,0,0,2000-03-23
83,0,0,0,0,0,AK,AK,0,0,0,2000-03-24
84,0,0,0,0,0,0,AL,0,0,0,2000-03-25
85,0,0,0,0,0,0,0,AL,0,0,2000-03-26
86,0,0,0,0,0,0,0,0,0,0,2000-03-27
87,0,0,0,0,0,0,AL,0,0,0,2000-03-28
88,0,0,0,0,0,0,AL,AL,0,0,2000-03-29
89,0,0,0,0,0,0,0,AK,0,0,2000-03-30
90,0,0,0,0,0,0,0,AL,0,0,2000-03-31
91,0,0,0,0,0,0,AM,0,AM,0,2000-04-01
92,0,0,0,0,0,0,0,0,0,0,2000-04-02
93,0,0,0,0,0,0,AL,0,0,0,2000-04-03
94,0,0,0,0,0,0,0,AM,0,0,2000-04-04
95,0,0,0,0,0,0,0,0,AM,0,2000-04-05
96,0,0,0,0,0,0,0,0,AM,0,2000-04-06
97,0,0,0,0,0,0,0,AM,AM,0,2000-04-07
98,0,0,0,0,0,0,0,0,AM,0,2000-04-08
