"Index","x"
1949,296.1
1950,334.1
1951,375.3
1952,403.8
1953,447
1954,476.3
1955,550.3
1956,603.9
1957,634.6
1958,648.5
1959,713.4
1960,759.2
1961,797.1
1962,857.9
1963,920
1964,987.2
1965,1058.4
1966,1147.5
1967,1217.8
1968,1332.8
1969,1445.5
1970,1535.1
1971,1615.9
1972,1753
1973,1864.1
1974,1870.3
1975,1920.8
1976,2040.9
1977,2127.4
1978,2209.4
1979,2250.7
1980,2289.6
1981,2298
1982,2244.4
1983,2313.4
1984,2419.5
1985,2473
1986,2490.5
1987,2575.3
1988,2707.4
1989,2967.3
1990,3038
1991,3073.8
1992,3083.9
1993,3197.2
1994,3247.5
1995,3353.5
1996,3444.2
1997,3492.2
1998,3620.3
1999,3694.8
2000,3802.1
2001,3736.6
2002,3858.5
2003,3848
