"Index","x"
"1999",107.1
"1999.08333333333",109.2
"1999.16666666667",125.6
"1999.25",115.2
"1999.33333333333",108.3
"1999.41666666667",129.5
"1999.5",115.3
"1999.58333333333",81.5
"1999.66666666667",124.9
"1999.75",124.1
"1999.83333333333",118.6
"1999.91666666667",117.5
"2000",112.2
"2000.08333333333",118.1
"2000.16666666667",131.4
"2000.25",114.3
"2000.33333333333",120.7
"2000.41666666667",126.2
"2000.5",116.3
"2000.58333333333",86.5
"2000.66666666667",125
"2000.75",129.8
"2000.83333333333",123.9
"2000.91666666667",114.2
"2001",119.2
"2001.08333333333",118
"2001.16666666667",132.4
"2001.25",116.8
"2001.33333333333",116.5
"2001.41666666667",128.5
"2001.5",120.2
"2001.58333333333",88.4
"2001.66666666667",121.6
"2001.75",130.4
"2001.83333333333",119.4
"2001.91666666667",106.5
"2002",115.1
"2002.08333333333",113.9
"2002.16666666667",125.4
"2002.25",120.7
"2002.33333333333",111.6
"2002.41666666667",125
"2002.5",121.6
"2002.58333333333",83.8
"2002.66666666667",121.9
"2002.75",128.1
"2002.83333333333",115.1
"2002.91666666667",107.1
"2003",112.7
"2003.08333333333",111.7
"2003.16666666667",123.6
"2003.25",118.4
"2003.33333333333",106.5
"2003.41666666667",120.3
"2003.5",117.7
"2003.58333333333",77.5
"2003.66666666667",122.9
"2003.75",127.6
"2003.83333333333",111.7
"2003.91666666667",110.2
"2004",109.5
"2004.08333333333",112.4
"2004.16666666667",129.3
"2004.25",118.4
"2004.33333333333",108.9
"2004.41666666667",131.2
"2004.5",116.3
"2004.58333333333",80.8
"2004.66666666667",126.5
"2004.75",123.1
"2004.83333333333",116.3
"2004.91666666667",113.7
"2005",112.6
"2005.08333333333",111.5
"2005.16666666667",124.5
"2005.25",119.1
"2005.33333333333",114.5
"2005.41666666667",129.8
"2005.5",111.6
"2005.58333333333",82.5
"2005.66666666667",127.1
"2005.75",119.6
"2005.83333333333",119.8
"2005.91666666667",112.9
"2006",112.9
"2006.08333333333",110.6
"2006.16666666667",129.9
"2006.25",112.4
"2006.33333333333",117.5
"2006.41666666667",131.2
"2006.5",113.1
"2006.58333333333",85
"2006.66666666667",125.4
"2006.75",126.4
"2006.83333333333",121.2
"2006.91666666667",110.1
"2007",115.5
"2007.08333333333",114.5
"2007.16666666667",129.4
"2007.25",116.6
"2007.33333333333",116.1
"2007.41666666667",131
"2007.5",121.4
"2007.58333333333",87.9
"2007.66666666667",121.2
"2007.75",132.2
"2007.83333333333",122.6
"2007.91666666667",107.7
"2008",117.4
"2008.08333333333",119.3
"2008.16666666667",122.4
"2008.25",125.2
"2008.33333333333",111.7
"2008.41666666667",125.9
"2008.5",119.5
"2008.58333333333",78.9
"2008.66666666667",122.4
"2008.75",121.2
"2008.83333333333",101.2
"2008.91666666667",97.4
"2009",91.2
"2009.08333333333",90.5
"2009.16666666667",100.8
"2009.25",94.7
"2009.33333333333",88.4
"2009.41666666667",105.4
"2009.5",98.2
"2009.58333333333",68.5
"2009.66666666667",106.1
"2009.75",104.5
"2009.83333333333",98.7
"2009.91666666667",93.9
"2010",90.6
"2010.08333333333",93.5
"2010.16666666667",110.2
"2010.25",101
"2010.33333333333",96.2
"2010.41666666667",112.8
"2010.5",101.7
"2010.58333333333",73.8
"2010.66666666667",109.8
"2010.75",105.2
"2010.83333333333",103.8
"2010.91666666667",101.5
"2011",100.2
"2011.08333333333",102.4
"2011.16666666667",116.3
"2011.25",102.6
"2011.33333333333",111.3
"2011.41666666667",108.9
"2011.5",102.1
"2011.58333333333",77.4
"2011.66666666667",110.8
"2011.75",106.3
"2011.83333333333",106.8
"2011.91666666667",99.8
"2012",100.2
"2012.08333333333",100.5
"2012.16666666667",110.8
"2012.25",99.6
"2012.33333333333",96.2
"2012.41666666667",108.6
"2012.5",104.3
"2012.58333333333",77
"2012.66666666667",102.9
"2012.75",108.3
"2012.83333333333",102
"2012.91666666667",90.8
"2013",96.7
"2013.08333333333",95.5
"2013.16666666667",103.5
"2013.25",103.1
"2013.33333333333",96.2
"2013.41666666667",105.9
"2013.5",105.7
"2013.58333333333",71.7
"2013.66666666667",104.4
"2013.75",109.6
"2013.83333333333",98.5
"2013.91666666667",93.5
