"Index","x"
"1990",74.49
"1990.08333333333",74.92
"1990.16666666667",75.01
"1990.25",75.61
"1990.33333333333",75.95
"1990.41666666667",75.78
"1990.5",75.44
"1990.58333333333",75.61
"1990.66666666667",75.87
"1990.75",75.95
"1990.83333333333",75.95
"1990.91666666667",76.12
"1991",76.81
"1991.08333333333",77.24
"1991.16666666667",77.59
"1991.25",77.93
"1991.33333333333",78.28
"1991.41666666667",78.79
"1991.5",78.97
"1991.58333333333",78.79
"1991.66666666667",78.54
"1991.75",78.88
"1991.83333333333",79.48
"1991.91666666667",79.14
"1992",79.83
"1992.08333333333",80.17
"1992.16666666667",80.26
"1992.25",80.6
"1992.33333333333",80.78
"1992.41666666667",80.52
"1992.5",80.17
"1992.58333333333",79.74
"1992.66666666667",79.91
"1992.75",80
"1992.83333333333",80.09
"1992.91666666667",79.91
"1993",80.52
"1993.08333333333",80.43
"1993.16666666667",80.69
"1993.25",80.78
"1993.33333333333",81.03
"1993.41666666667",80.78
"1993.5",80.78
"1993.58333333333",80.52
"1993.66666666667",80.78
"1993.75",80.95
"1993.83333333333",81.21
"1993.91666666667",81.46
"1994",81.64
"1994.08333333333",81.89
"1994.16666666667",81.98
"1994.25",82.41
"1994.33333333333",82.76
"1994.41666666667",82.84
"1994.5",82.93
"1994.58333333333",82.84
"1994.66666666667",83.27
"1994.75",83.44
"1994.83333333333",83.27
"1994.91666666667",83.44
"1995",84.22
"1995.08333333333",84.56
"1995.16666666667",84.74
"1995.25",84.99
"1995.33333333333",85.17
"1995.41666666667",85.17
"1995.5",84.82
"1995.58333333333",84.48
"1995.66666666667",84.56
"1995.75",84.48
"1995.83333333333",84.65
"1995.91666666667",84.82
"1996",85.43
"1996.08333333333",85.77
"1996.16666666667",86.29
"1996.25",86.63
"1996.33333333333",86.98
"1996.41666666667",86.8
"1996.5",86.63
"1996.58333333333",85.94
"1996.66666666667",85.77
"1996.75",85.6
"1996.83333333333",85.77
"1996.91666666667",85.94
"1997",86.89
"1997.08333333333",86.54
"1997.16666666667",86.2
"1997.25",86.46
"1997.33333333333",87.06
"1997.41666666667",87.15
"1997.5",87.06
"1997.58333333333",86.72
"1997.66666666667",86.98
"1997.75",86.98
"1997.83333333333",87.41
"1997.91666666667",87.58
"1998",88.01
"1998.08333333333",87.84
"1998.16666666667",87.84
"1998.25",88.27
"1998.33333333333",88.7
"1998.41666666667",88.78
"1998.5",88.53
"1998.58333333333",88.09
"1998.66666666667",87.92
"1998.75",87.66
"1998.83333333333",87.84
"1998.91666666667",88.09
"1999",88.61
"1999.08333333333",88.61
"1999.16666666667",88.78
"1999.25",88.96
"1999.33333333333",88.96
"1999.41666666667",88.53
"1999.5",87.92
"1999.58333333333",87.49
"1999.66666666667",87.41
"1999.75",87.58
"1999.83333333333",87.84
"1999.91666666667",88.09
"2000",88.53
"2000.08333333333",88.78
"2000.16666666667",88.61
"2000.25",89.13
"2000.33333333333",89.39
"2000.41666666667",89.47
"2000.5",89.3
"2000.58333333333",89.21
"2000.66666666667",89.21
"2000.75",89.39
"2000.83333333333",89.82
"2000.91666666667",90.33
"2001",91.28
"2001.08333333333",91.63
"2001.16666666667",92.49
"2001.25",93.35
"2001.33333333333",94.55
"2001.41666666667",94.64
"2001.5",94.55
"2001.58333333333",94.04
"2001.66666666667",94.12
"2001.75",94.38
"2001.83333333333",94.29
"2001.91666666667",94.9
"2002",96.62
"2002.08333333333",96.28
"2002.16666666667",96.36
"2002.25",96.62
"2002.33333333333",96.79
"2002.41666666667",96.45
"2002.5",96.19
"2002.58333333333",95.84
"2002.66666666667",96.02
"2002.75",96.02
"2002.83333333333",96.02
"2002.91666666667",96.36
"2003",97.14
"2003.08333333333",97.4
"2003.16666666667",97.83
"2003.25",98.08
"2003.33333333333",98.34
"2003.41666666667",98.69
"2003.5",98.43
"2003.58333333333",98.34
"2003.66666666667",98.95
"2003.75",98.86
"2003.83333333333",98.86
"2003.91666666667",98.86
"2004",99.55
"2004.08333333333",99.38
"2004.16666666667",99.55
"2004.25",99.72
"2004.33333333333",99.98
"2004.41666666667",100.06
"2004.5",99.55
"2004.58333333333",98.86
"2004.66666666667",98.77
"2004.75",98.69
"2004.83333333333",98.77
"2004.91666666667",99.2
"2005",99.46
"2005.08333333333",99.89
"2005.16666666667",100.32
"2005.25",100.32
"2005.33333333333",100.58
"2005.41666666667",100.5
"2005.5",99.81
"2005.58333333333",99.55
"2005.66666666667",99.46
"2005.75",99.63
"2005.83333333333",99.89
"2005.91666666667",100.58
"2006",101.17
"2006.08333333333",101.54
"2006.16666666667",101.61
"2006.25",101.86
"2006.33333333333",102.36
"2006.41666666667",102.48
"2006.5",102.41
"2006.58333333333",102.42
"2006.66666666667",102.74
"2006.75",102.58
"2006.83333333333",102.95
"2006.91666666667",103.18
"2007",103.72
"2007.08333333333",103.52
"2007.16666666667",103.57
"2007.25",104.36
"2007.33333333333",104.47
"2007.41666666667",104.6
"2007.5",104.46
"2007.58333333333",104.62
"2007.66666666667",105.23
"2007.75",106.49
"2007.83333333333",107.38
"2007.91666666667",108.09
"2008",109.31
"2008.08333333333",109.51
"2008.16666666667",110.04
"2008.25",110.62
"2008.33333333333",111.12
"2008.41666666667",111.31
"2008.5",111.46
"2008.58333333333",111.06
"2008.66666666667",111.18
"2008.75",111.48
"2008.83333333333",111.35
"2008.91666666667",111.54
"2009",112.1
"2009.08333333333",112.03
"2009.16666666667",111.76
"2009.25",111.62
"2009.33333333333",111.46
"2009.41666666667",111.08
"2009.5",110.36
"2009.58333333333",109.78
"2009.66666666667",109.77
"2009.75",109.76
"2009.83333333333",109.96
"2009.91666666667",110.04
"2010",110.8
"2010.08333333333",110.84
"2010.16666666667",111.31
"2010.25",111.64
"2010.33333333333",111.38
"2010.41666666667",111.38
"2010.5",111.26
"2010.58333333333",111.01
"2010.66666666667",110.96
"2010.75",111.1
"2010.83333333333",111.54
"2010.91666666667",112
"2011",112.44
"2011.08333333333",113.03
"2011.16666666667",113.59
"2011.25",113.84
"2011.33333333333",114.41
"2011.41666666667",114.38
"2011.5",114.11
"2011.58333333333",113.85
"2011.66666666667",114.07
"2011.75",114.52
"2011.83333333333",115.03
"2011.91666666667",115.32
"2012",115.75
"2012.08333333333",116.59
"2012.16666666667",116.95
"2012.25",116.92
"2012.33333333333",117.04
"2012.41666666667",117.54
"2012.5",116.92
"2012.58333333333",116.83
"2012.66666666667",117.11
"2012.75",117.81
"2012.83333333333",118.32
"2012.91666666667",118.82
"2013",119.32
"2013.08333333333",119.41
"2013.16666666667",119.77
"2013.25",120.04
"2013.33333333333",120.82
"2013.41666666667",121.3
"2013.5",120.82
"2013.58333333333",120.28
"2013.66666666667",119.68
"2013.75",119.51
"2013.83333333333",119.63
"2013.91666666667",120.43
