,Close,Open,Low,Adj_Close,Date,High,Symbol,Volume
0,295.00,399.00,275.00,295.00,2015-11-04,399.00,950010.KS,6361700
1,500.00,950.00,500.00,500.00,2015-11-03,950.00,950010.KS,3904500
2,950.00,1125.00,895.00,950.00,2015-11-02,1250.00,950010.KS,3485400
3,1300.00,1595.00,1035.00,1300.00,2015-10-30,1700.00,950010.KS,3980800
4,2200.00,5500.00,2050.00,2200.00,2015-10-29,5500.00,950010.KS,2700400
5,3795.00,4700.00,3200.00,3795.00,2015-10-28,14000.00,950010.KS,3029300
6,4500.00,2400.00,1350.00,4500.00,2015-10-27,5300.00,950010.KS,1920300
7,690.00,690.00,690.00,690.00,2015-10-26,690.00,950010.KS,000
8,690.00,690.00,690.00,690.00,2015-10-23,690.00,950010.KS,000
9,690.00,690.00,690.00,690.00,2015-10-22,690.00,950010.KS,000
10,690.00,690.00,690.00,690.00,2015-10-21,690.00,950010.KS,000
11,690.00,690.00,690.00,690.00,2015-10-20,690.00,950010.KS,000
12,690.00,690.00,690.00,690.00,2015-10-19,690.00,950010.KS,000
13,690.00,690.00,690.00,690.00,2015-10-16,690.00,950010.KS,000
14,690.00,690.00,690.00,690.00,2015-10-15,690.00,950010.KS,000
15,690.00,690.00,690.00,690.00,2015-10-14,690.00,950010.KS,000
16,690.00,690.00,690.00,690.00,2015-10-13,690.00,950010.KS,000
17,690.00,690.00,690.00,690.00,2015-10-12,690.00,950010.KS,000
18,690.00,690.00,690.00,690.00,2015-10-09,690.00,950010.KS,000
19,690.00,690.00,690.00,690.00,2015-10-08,690.00,950010.KS,000
20,690.00,690.00,690.00,690.00,2015-10-07,690.00,950010.KS,000
21,690.00,690.00,690.00,690.00,2015-10-06,690.00,950010.KS,000
22,690.00,690.00,690.00,690.00,2015-10-05,690.00,950010.KS,000
23,690.00,690.00,690.00,690.00,2015-10-02,690.00,950010.KS,000
24,690.00,690.00,690.00,690.00,2015-10-01,690.00,950010.KS,000
25,690.00,690.00,690.00,690.00,2015-09-30,690.00,950010.KS,000
26,690.00,690.00,690.00,690.00,2015-09-29,690.00,950010.KS,000
27,690.00,690.00,690.00,690.00,2015-09-28,690.00,950010.KS,000
28,690.00,690.00,690.00,690.00,2015-09-25,690.00,950010.KS,000
29,690.00,690.00,690.00,690.00,2015-09-24,690.00,950010.KS,000
30,690.00,690.00,690.00,690.00,2015-09-23,690.00,950010.KS,000
31,690.00,690.00,690.00,690.00,2015-09-22,690.00,950010.KS,000
32,690.00,690.00,690.00,690.00,2015-09-21,690.00,950010.KS,000
33,690.00,690.00,690.00,690.00,2015-09-18,690.00,950010.KS,000
34,690.00,690.00,690.00,690.00,2015-09-17,690.00,950010.KS,000
35,690.00,690.00,690.00,690.00,2015-09-16,690.00,950010.KS,000
36,690.00,690.00,690.00,690.00,2015-09-15,690.00,950010.KS,000
37,690.00,690.00,690.00,690.00,2015-09-14,690.00,950010.KS,000
38,690.00,690.00,690.00,690.00,2015-09-11,690.00,950010.KS,000
39,690.00,690.00,690.00,690.00,2015-09-10,690.00,950010.KS,000
40,690.00,690.00,690.00,690.00,2015-09-09,690.00,950010.KS,000
