,High,Low,Close,Symbol,Adj_Close,Date,Open,Volume
0,0.3745,0.3597,0.372,CLE.MI,0.372,2016-07-27,0.3597,37600
1,0.37,0.3688,0.369,CLE.MI,0.369,2016-07-26,0.37,9300
2,0.3724,0.358,0.3666,CLE.MI,0.3666,2016-07-25,0.3724,30700
3,0.3746,0.3511,0.3534,CLE.MI,0.3534,2016-07-22,0.3746,75300
4,0.3775,0.3683,0.3773,CLE.MI,0.3773,2016-07-21,0.3683,18400
5,0.3848,0.3671,0.3739,CLE.MI,0.3739,2016-07-20,0.3848,39800
6,0.3798,0.37,0.3797,CLE.MI,0.3797,2016-07-19,0.3751,44100
7,0.3877,0.371,0.3876,CLE.MI,0.3876,2016-07-18,0.3712,25900
8,0.3869,0.373,0.3869,CLE.MI,0.3869,2016-07-15,0.3815,62100
9,0.388,0.3681,0.3873,CLE.MI,0.3873,2016-07-14,0.3787,251300
10,0.379,0.362,0.3759,CLE.MI,0.3759,2016-07-13,0.379,220300
11,0.3799,0.3601,0.373,CLE.MI,0.373,2016-07-12,0.3601,97100
12,0.3697,0.3599,0.36,CLE.MI,0.36,2016-07-11,0.3599,27200
13,0.35,0.3429,0.3435,CLE.MI,0.3435,2016-07-08,0.3497,51900
14,0.3497,0.3321,0.3497,CLE.MI,0.3497,2016-07-07,0.3321,10700
15,0.3583,0.34,0.34,CLE.MI,0.34,2016-07-06,0.3413,7500
16,0.3499,0.3405,0.3414,CLE.MI,0.3414,2016-07-05,0.3413,61900
17,0.3774,0.352,0.352,CLE.MI,0.352,2016-07-04,0.3774,28000
18,0.37,0.3517,0.37,CLE.MI,0.37,2016-07-01,0.36,13500
19,0.3779,0.3509,0.353,CLE.MI,0.353,2016-06-30,0.36,21500
20,0.37,0.339,0.36,CLE.MI,0.36,2016-06-29,0.339,47900
21,0.3574,0.3302,0.3496,CLE.MI,0.3496,2016-06-28,0.3302,29000
22,0.3598,0.336,0.34,CLE.MI,0.34,2016-06-27,0.355,68400
23,0.3601,0.34,0.359,CLE.MI,0.359,2016-06-24,0.35,203000
24,0.397,0.3856,0.397,CLE.MI,0.397,2016-06-23,0.3856,46100
25,0.3874,0.3738,0.3874,CLE.MI,0.3874,2016-06-22,0.381,35900
