,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,TII-A
1,/* nn4 hide */,TII-A
2,/*/*/,TII-A
3,body {font:small/1.2em arial,TII-A
4,html>body {font:83%/1.2em arial,TII-A
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},TII-A
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},TII-A
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},TII-A
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},TII-A
9,#s1p {width:15em;margin-right:.1em;},TII-A
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},TII-A
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},TII-A
12,/* end nn4 hide */,TII-A
13,</style></head>,TII-A
14,"<body><div id=""doc"">",TII-A
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",TII-A
16,src=http://l.yimg.com/a/i/yahoo.gif,TII-A
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",TII-A
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",TII-A
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",TII-A
20,"<div id=""bd""><h1>Sorry",TII-A
21,<p>Please check the URL for proper spelling and capitalization. If,TII-A
22,you're having trouble locating a destination on Yahoo!,TII-A
23,<strong><a,TII-A
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",TII-A
25,page</a></strong> or look through a list of <strong><a,TII-A
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",TII-A
27,online services</a></strong>. Also,TII-A
28,if you try searching below.</p>,TII-A
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",TII-A
30,"<legend><label for=""s1p"">Search the Web</label></legend>",TII-A
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",TII-A
32,"<input type=""submit"" value=""Search"">",TII-A
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",TII-A
34,</fieldset></form>,TII-A
35,"<p class=""more"">Please try <strong><a",TII-A
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",TII-A
37,Help Central</a></strong> if you need more assistance.</p>,TII-A
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",TII-A
39,All rights reserved. <a,TII-A
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",TII-A
41,Policy</a> - <a,TII-A
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",TII-A
43,of Service</a></p></div>,TII-A
44,</div></body></html>,TII-A
