,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,BTH
1,/* nn4 hide */,BTH
2,/*/*/,BTH
3,body {font:small/1.2em arial,BTH
4,html>body {font:83%/1.2em arial,BTH
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},BTH
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},BTH
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},BTH
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},BTH
9,#s1p {width:15em;margin-right:.1em;},BTH
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},BTH
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},BTH
12,/* end nn4 hide */,BTH
13,</style></head>,BTH
14,"<body><div id=""doc"">",BTH
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",BTH
16,src=http://l.yimg.com/a/i/yahoo.gif,BTH
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",BTH
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",BTH
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",BTH
20,"<div id=""bd""><h1>Sorry",BTH
21,<p>Please check the URL for proper spelling and capitalization. If,BTH
22,you're having trouble locating a destination on Yahoo!,BTH
23,<strong><a,BTH
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",BTH
25,page</a></strong> or look through a list of <strong><a,BTH
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",BTH
27,online services</a></strong>. Also,BTH
28,if you try searching below.</p>,BTH
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",BTH
30,"<legend><label for=""s1p"">Search the Web</label></legend>",BTH
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",BTH
32,"<input type=""submit"" value=""Search"">",BTH
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",BTH
34,</fieldset></form>,BTH
35,"<p class=""more"">Please try <strong><a",BTH
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",BTH
37,Help Central</a></strong> if you need more assistance.</p>,BTH
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",BTH
39,All rights reserved. <a,BTH
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",BTH
41,Policy</a> - <a,BTH
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",BTH
43,of Service</a></p></div>,BTH
44,</div></body></html>,BTH
45,<html><head><title>Yahoo! - 404 Not Found</title><style>,BTH
46,/* nn4 hide */,BTH
47,/*/*/,BTH
48,body {font:small/1.2em arial,BTH
49,html>body {font:83%/1.2em arial,BTH
50,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},BTH
51,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},BTH
52,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},BTH
53,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},BTH
54,#s1p {width:15em;margin-right:.1em;},BTH
55,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},BTH
