,High,Low,Close,Symbol,Adj_Close,Date,Open,Volume
0,0.225,0.225,0.225,HAMP.L,0.225,2012-11-20,0.225,000
1,0.225,0.225,0.225,HAMP.L,0.225,2012-11-19,0.225,000
2,0.225,0.225,0.225,HAMP.L,0.225,2012-11-16,0.225,000
3,0.225,0.225,0.225,HAMP.L,0.225,2012-11-15,0.225,000
4,0.225,0.225,0.225,HAMP.L,0.225,2012-11-14,0.225,000
5,0.225,0.225,0.225,HAMP.L,0.225,2012-11-13,0.225,000
6,0.225,0.225,0.225,HAMP.L,0.225,2012-11-12,0.225,000
7,0.225,0.225,0.225,HAMP.L,0.225,2012-11-09,0.225,000
8,0.225,0.225,0.225,HAMP.L,0.225,2012-11-08,0.225,000
9,0.225,0.225,0.225,HAMP.L,0.225,2012-11-07,0.225,000
10,0.225,0.225,0.225,HAMP.L,0.225,2012-11-06,0.225,000
11,0.225,0.225,0.225,HAMP.L,0.225,2012-11-05,0.225,000
12,0.225,0.225,0.225,HAMP.L,0.225,2012-11-02,0.225,000
13,0.225,0.225,0.225,HAMP.L,0.225,2012-11-01,0.225,000
14,0.225,0.225,0.225,HAMP.L,0.225,2012-10-31,0.225,000
15,0.225,0.225,0.225,HAMP.L,0.225,2012-10-30,0.225,000
16,0.225,0.225,0.225,HAMP.L,0.225,2012-10-29,0.225,000
17,0.225,0.225,0.225,HAMP.L,0.225,2012-10-26,0.225,000
18,0.225,0.225,0.225,HAMP.L,0.225,2012-10-25,0.225,000
19,0.225,0.225,0.225,HAMP.L,0.225,2012-10-24,0.225,000
20,0.225,0.225,0.225,HAMP.L,0.225,2012-10-23,0.225,000
21,0.225,0.225,0.225,HAMP.L,0.225,2012-10-22,0.225,000
22,0.225,0.225,0.225,HAMP.L,0.225,2012-10-19,0.225,000
23,0.225,0.225,0.225,HAMP.L,0.225,2012-10-18,0.225,000
24,0.225,0.225,0.225,HAMP.L,0.225,2012-10-17,0.225,000
25,0.225,0.225,0.225,HAMP.L,0.225,2012-10-16,0.225,000
26,0.225,0.225,0.225,HAMP.L,0.225,2012-10-15,0.225,000
27,0.225,0.225,0.225,HAMP.L,0.225,2012-10-12,0.225,000
28,0.225,0.225,0.225,HAMP.L,0.225,2012-10-11,0.225,000
29,0.225,0.225,0.225,HAMP.L,0.225,2012-10-10,0.225,000
30,0.225,0.225,0.225,HAMP.L,0.225,2012-10-09,0.225,000
31,0.225,0.225,0.225,HAMP.L,0.225,2012-10-08,0.225,000
32,0.225,0.225,0.225,HAMP.L,0.225,2012-10-05,0.225,000
33,0.225,0.225,0.225,HAMP.L,0.225,2012-10-04,0.225,000
34,0.225,0.225,0.225,HAMP.L,0.225,2012-10-03,0.225,000
35,0.225,0.225,0.225,HAMP.L,0.225,2012-10-02,0.225,000
36,0.225,0.225,0.225,HAMP.L,0.225,2012-10-01,0.225,000
37,0.225,0.225,0.225,HAMP.L,0.225,2012-09-28,0.225,000
38,0.225,0.225,0.225,HAMP.L,0.225,2012-09-27,0.225,000
39,0.225,0.225,0.225,HAMP.L,0.225,2012-09-26,0.225,000
40,0.225,0.225,0.225,HAMP.L,0.225,2012-09-25,0.225,000
41,0.20,0.20,0.225,HAMP.L,0.225,2012-09-24,0.20,000
42,0.20,0.20,0.20,HAMP.L,0.20,2012-09-21,0.20,000
43,0.20,0.20,0.20,HAMP.L,0.20,2012-09-20,0.20,000
44,0.20,0.20,0.20,HAMP.L,0.20,2012-09-19,0.20,000
45,0.20,0.20,0.20,HAMP.L,0.20,2012-09-18,0.20,000
46,0.20,0.20,0.20,HAMP.L,0.20,2012-09-17,0.20,000
47,0.20,0.20,0.20,HAMP.L,0.20,2012-09-14,0.20,000
48,0.20,0.20,0.20,HAMP.L,0.20,2012-09-13,0.20,000
49,0.20,0.20,0.20,HAMP.L,0.20,2012-09-12,0.20,000
50,0.20,0.20,0.20,HAMP.L,0.20,2012-09-11,0.20,000
51,0.20,0.20,0.20,HAMP.L,0.20,2012-09-10,0.20,000
