,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,FTE.PA
1,/* nn4 hide */,FTE.PA
2,/*/*/,FTE.PA
3,body {font:small/1.2em arial,FTE.PA
4,html>body {font:83%/1.2em arial,FTE.PA
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},FTE.PA
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},FTE.PA
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},FTE.PA
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},FTE.PA
9,#s1p {width:15em;margin-right:.1em;},FTE.PA
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},FTE.PA
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},FTE.PA
12,/* end nn4 hide */,FTE.PA
13,</style></head>,FTE.PA
14,"<body><div id=""doc"">",FTE.PA
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",FTE.PA
16,src=http://l.yimg.com/a/i/yahoo.gif,FTE.PA
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",FTE.PA
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",FTE.PA
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",FTE.PA
20,"<div id=""bd""><h1>Sorry",FTE.PA
21,<p>Please check the URL for proper spelling and capitalization. If,FTE.PA
22,you're having trouble locating a destination on Yahoo!,FTE.PA
23,<strong><a,FTE.PA
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",FTE.PA
25,page</a></strong> or look through a list of <strong><a,FTE.PA
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",FTE.PA
27,online services</a></strong>. Also,FTE.PA
28,if you try searching below.</p>,FTE.PA
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",FTE.PA
30,"<legend><label for=""s1p"">Search the Web</label></legend>",FTE.PA
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",FTE.PA
32,"<input type=""submit"" value=""Search"">",FTE.PA
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",FTE.PA
34,</fieldset></form>,FTE.PA
35,"<p class=""more"">Please try <strong><a",FTE.PA
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",FTE.PA
37,Help Central</a></strong> if you need more assistance.</p>,FTE.PA
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",FTE.PA
39,All rights reserved. <a,FTE.PA
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",FTE.PA
41,Policy</a> - <a,FTE.PA
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",FTE.PA
43,of Service</a></p></div>,FTE.PA
44,</div></body></html>,FTE.PA
