,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
0,2016-07-27,ITM.MI,39.17,38.70,29500,38.41,38.70,38.41
1,2016-07-26,ITM.MI,39.35,38.38,20700,38.61,38.38,38.01
2,2016-07-25,ITM.MI,38.91,38.28,16800,37.83,38.28,37.72
3,2016-07-22,ITM.MI,38.87,38.50,13900,37.31,38.50,37.31
4,2016-07-21,ITM.MI,39.28,38.54,28100,39.28,38.54,37.73
5,2016-07-20,ITM.MI,39.39,38.65,41500,38.80,38.65,38.00
6,2016-07-19,ITM.MI,39.79,39.48,10900,39.79,39.48,39.00
7,2016-07-18,ITM.MI,39.80,39.35,31700,39.69,39.35,38.99
8,2016-07-15,ITM.MI,39.98,39.30,16200,38.97,39.30,38.75
9,2016-07-14,ITM.MI,41.00,40.00,37800,41.00,40.00,39.56
10,2016-07-13,ITM.MI,40.05,39.85,6000,39.82,39.85,39.50
11,2016-07-12,ITM.MI,40.45,40.00,15200,39.43,40.00,39.43
12,2016-07-11,ITM.MI,40.21,39.82,10500,40.21,39.82,39.48
13,2016-07-08,ITM.MI,39.90,39.90,19600,39.61,39.90,38.66
14,2016-07-07,ITM.MI,39.21,39.00,14400,38.44,39.00,38.21
15,2016-07-06,ITM.MI,39.50,38.50,25400,39.20,38.50,38.25
16,2016-07-05,ITM.MI,39.70,39.50,89600,38.41,39.50,37.23
17,2016-07-04,ITM.MI,39.88,38.49,94700,36.20,38.49,36.20
18,2016-07-01,ITM.MI,35.01,35.00,15800,32.49,35.00,32.40
19,2016-06-30,ITM.MI,32.80,31.58,7800,32.25,31.58,31.30
20,2016-06-29,ITM.MI,31.80,31.30,5100,31.30,31.30,31.30
21,2016-06-28,ITM.MI,31.67,31.30,4900,31.01,31.30,31.00
22,2016-06-27,ITM.MI,32.88,30.12,4900,32.88,30.12,30.07
23,2016-06-24,ITM.MI,33.36,31.53,8600,33.36,31.53,31.52
24,2016-06-23,ITM.MI,35.27,34.07,5100,33.84,34.07,33.84
25,2016-06-22,ITM.MI,34.01,33.72,10000,33.44,33.72,32.16
26,2016-06-21,ITM.MI,33.85,33.10,6200,33.60,33.10,32.90
27,2016-06-20,ITM.MI,33.38,32.70,10100,32.04,32.70,31.52
28,2016-06-17,ITM.MI,32.84,31.50,8600,31.99,31.50,31.36
29,2016-06-16,ITM.MI,33.46,31.99,13900,33.23,31.99,31.99
30,2016-06-15,ITM.MI,35.08,33.23,5200,34.82,33.23,33.23
31,2016-06-14,ITM.MI,34.82,34.82,1600,34.58,34.82,33.81
32,2016-06-13,ITM.MI,35.85,34.58,3800,35.78,34.58,34.58
33,2016-06-10,ITM.MI,37.68,36.43,2400,37.20,36.43,36.43
34,2016-06-09,ITM.MI,37.70,37.42,600,37.68,37.42,37.42
35,2016-06-08,ITM.MI,37.69,37.68,3300,36.98,37.68,36.98
