,High,Close,Date,Open,Adj_Close,Symbol,Volume,Low
0,1.65,1.64,2016-07-27,1.607,1.64,FM.MI,103500,1.607
1,1.622,1.607,2016-07-26,1.607,1.607,FM.MI,25800,1.59
2,1.631,1.619,2016-07-25,1.592,1.619,FM.MI,15200,1.592
3,1.63,1.608,2016-07-22,1.597,1.608,FM.MI,20400,1.597
4,1.62,1.62,2016-07-21,1.61,1.62,FM.MI,14400,1.58
5,1.63,1.588,2016-07-20,1.605,1.588,FM.MI,22700,1.576
6,1.628,1.605,2016-07-19,1.60,1.605,FM.MI,14900,1.58
7,1.65,1.61,2016-07-18,1.61,1.61,FM.MI,20300,1.607
8,1.601,1.601,2016-07-15,1.594,1.601,FM.MI,9400,1.571
9,1.595,1.594,2016-07-14,1.574,1.594,FM.MI,37700,1.535
10,1.592,1.57,2016-07-13,1.592,1.57,FM.MI,23600,1.544
11,1.599,1.589,2016-07-12,1.548,1.589,FM.MI,74500,1.512
12,1.576,1.57,2016-07-11,1.535,1.57,FM.MI,36800,1.491
13,1.502,1.502,2016-07-08,1.497,1.502,FM.MI,18100,1.48
14,1.527,1.50,2016-07-07,1.51,1.50,FM.MI,69800,1.451
15,1.535,1.512,2016-07-06,1.521,1.512,FM.MI,57200,1.512
16,1.566,1.542,2016-07-05,1.566,1.542,FM.MI,29400,1.518
17,1.584,1.568,2016-07-04,1.562,1.568,FM.MI,59200,1.51
18,1.626,1.568,2016-07-01,1.626,1.568,FM.MI,34200,1.552
19,1.64,1.603,2016-06-30,1.624,1.603,FM.MI,37000,1.533
20,1.688,1.601,2016-06-29,1.623,1.601,FM.MI,23700,1.571
21,1.668,1.60,2016-06-28,1.555,1.60,FM.MI,40700,1.555
22,1.658,1.533,2016-06-27,1.658,1.533,FM.MI,106000,1.527
23,1.564,1.526,2016-06-24,1.55,1.526,FM.MI,145500,1.40
24,1.735,1.711,2016-06-23,1.725,1.711,FM.MI,46100,1.70
25,1.754,1.72,2016-06-22,1.745,1.72,FM.MI,57100,1.705
26,1.731,1.729,2016-06-21,1.70,1.729,FM.MI,39800,1.681
27,1.715,1.70,2016-06-20,1.673,1.70,FM.MI,68300,1.67
28,1.684,1.669,2016-06-17,1.60,1.669,FM.MI,39100,1.581
29,1.606,1.60,2016-06-16,1.606,1.60,FM.MI,57800,1.58
30,1.642,1.615,2016-06-15,1.63,1.615,FM.MI,31200,1.605
31,1.70,1.602,2016-06-14,1.644,1.602,FM.MI,70100,1.602
32,1.718,1.672,2016-06-13,1.71,1.672,FM.MI,72200,1.631
33,1.80,1.718,2016-06-10,1.76,1.718,FM.MI,56900,1.71
34,1.829,1.781,2016-06-09,1.77,1.781,FM.MI,17000,1.768
35,1.83,1.80,2016-06-08,1.83,1.80,FM.MI,28100,1.78
36,1.849,1.835,2016-06-07,1.744,1.835,FM.MI,68400,1.744
37,1.77,1.742,2016-06-06,1.77,1.742,FM.MI,33200,1.725
38,1.812,1.77,2016-06-03,1.77,1.77,FM.MI,38900,1.767
39,1.813,1.813,2016-06-02,1.79,1.813,FM.MI,5500,1.767
40,1.819,1.799,2016-06-01,1.792,1.799,FM.MI,33800,1.763
41,1.834,1.815,2016-05-31,1.809,1.815,FM.MI,85500,1.782
42,1.81,1.807,2016-05-30,1.788,1.807,FM.MI,85800,1.759
43,1.81,1.788,2016-05-27,1.81,1.788,FM.MI,14600,1.757
44,1.798,1.784,2016-05-26,1.791,1.784,FM.MI,83800,1.746
45,1.815,1.81,2016-05-25,1.789,1.81,FM.MI,40300,1.751
46,1.789,1.777,2016-05-24,1.738,1.777,FM.MI,25500,1.737
47,1.774,1.765,2016-05-23,1.774,1.765,FM.MI,26200,1.741
48,1.758,1.756,2016-05-20,1.749,1.756,FM.MI,20100,1.73
49,1.787,1.73,2016-05-19,1.775,1.73,FM.MI,24400,1.708
50,1.837,1.775,2016-05-18,1.837,1.775,FM.MI,35600,1.775
51,1.88,1.808,2016-05-17,1.88,1.808,FM.MI,62000,1.796
52,1.88,1.85,2016-05-16,1.84,1.85,FM.MI,124500,1.799
53,1.84,1.83,2016-05-13,1.697,1.83,FM.MI,288200,1.66
54,1.70,1.694,2016-05-12,1.674,1.694,FM.MI,34900,1.668
55,1.713,1.70,2016-05-11,1.68,1.70,FM.MI,40000,1.65
56,1.719,1.704,2016-05-10,1.694,1.704,FM.MI,23500,1.667
