,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,KWL.L
1,/* nn4 hide */,KWL.L
2,/*/*/,KWL.L
3,body {font:small/1.2em arial,KWL.L
4,html>body {font:83%/1.2em arial,KWL.L
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},KWL.L
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},KWL.L
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},KWL.L
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},KWL.L
9,#s1p {width:15em;margin-right:.1em;},KWL.L
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},KWL.L
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},KWL.L
12,/* end nn4 hide */,KWL.L
13,</style></head>,KWL.L
14,"<body><div id=""doc"">",KWL.L
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",KWL.L
16,src=http://l.yimg.com/a/i/yahoo.gif,KWL.L
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",KWL.L
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",KWL.L
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",KWL.L
20,"<div id=""bd""><h1>Sorry",KWL.L
21,<p>Please check the URL for proper spelling and capitalization. If,KWL.L
22,you're having trouble locating a destination on Yahoo!,KWL.L
23,<strong><a,KWL.L
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",KWL.L
25,page</a></strong> or look through a list of <strong><a,KWL.L
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",KWL.L
27,online services</a></strong>. Also,KWL.L
28,if you try searching below.</p>,KWL.L
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",KWL.L
30,"<legend><label for=""s1p"">Search the Web</label></legend>",KWL.L
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",KWL.L
32,"<input type=""submit"" value=""Search"">",KWL.L
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",KWL.L
34,</fieldset></form>,KWL.L
35,"<p class=""more"">Please try <strong><a",KWL.L
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",KWL.L
37,Help Central</a></strong> if you need more assistance.</p>,KWL.L
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",KWL.L
39,All rights reserved. <a,KWL.L
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",KWL.L
41,Policy</a> - <a,KWL.L
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",KWL.L
43,of Service</a></p></div>,KWL.L
44,</div></body></html>,KWL.L
