,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,KESA.L
1,/* nn4 hide */,KESA.L
2,/*/*/,KESA.L
3,body {font:small/1.2em arial,KESA.L
4,html>body {font:83%/1.2em arial,KESA.L
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},KESA.L
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},KESA.L
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},KESA.L
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},KESA.L
9,#s1p {width:15em;margin-right:.1em;},KESA.L
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},KESA.L
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},KESA.L
12,/* end nn4 hide */,KESA.L
13,</style></head>,KESA.L
14,"<body><div id=""doc"">",KESA.L
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",KESA.L
16,src=http://l.yimg.com/a/i/yahoo.gif,KESA.L
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",KESA.L
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",KESA.L
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",KESA.L
20,"<div id=""bd""><h1>Sorry",KESA.L
21,<p>Please check the URL for proper spelling and capitalization. If,KESA.L
22,you're having trouble locating a destination on Yahoo!,KESA.L
23,<strong><a,KESA.L
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",KESA.L
25,page</a></strong> or look through a list of <strong><a,KESA.L
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",KESA.L
27,online services</a></strong>. Also,KESA.L
28,if you try searching below.</p>,KESA.L
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",KESA.L
30,"<legend><label for=""s1p"">Search the Web</label></legend>",KESA.L
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",KESA.L
32,"<input type=""submit"" value=""Search"">",KESA.L
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",KESA.L
34,</fieldset></form>,KESA.L
35,"<p class=""more"">Please try <strong><a",KESA.L
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",KESA.L
37,Help Central</a></strong> if you need more assistance.</p>,KESA.L
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",KESA.L
39,All rights reserved. <a,KESA.L
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",KESA.L
41,Policy</a> - <a,KESA.L
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",KESA.L
43,of Service</a></p></div>,KESA.L
44,</div></body></html>,KESA.L
