,High,Close,Date,Open,Adj_Close,Symbol,Volume,Low
0,55400.00,54900.00,2016-07-28,53000.00,54900.00,044820.KS,36900,52900.00
1,55500.00,52900.00,2016-07-27,55500.00,52900.00,044820.KS,32900,52400.00
2,55300.00,55100.00,2016-07-26,53900.00,55100.00,044820.KS,13200,53900.00
3,57000.00,54000.00,2016-07-25,56700.00,54000.00,044820.KS,31000,53200.00
4,56600.00,56600.00,2016-07-22,56100.00,56600.00,044820.KS,9800,55800.00
5,58400.00,55700.00,2016-07-21,58000.00,55700.00,044820.KS,40300,55500.00
6,59100.00,58100.00,2016-07-20,58900.00,58100.00,044820.KS,19900,57700.00
7,60300.00,59200.00,2016-07-19,60300.00,59200.00,044820.KS,19400,58700.00
8,59800.00,59600.00,2016-07-18,59100.00,59600.00,044820.KS,15700,58100.00
9,59500.00,58700.00,2016-07-15,59200.00,58700.00,044820.KS,15800,58300.00
10,59700.00,58700.00,2016-07-14,59200.00,58700.00,044820.KS,21400,58300.00
11,61500.00,58900.00,2016-07-13,60500.00,58900.00,044820.KS,33400,58600.00
12,61600.00,60200.00,2016-07-12,60900.00,60200.00,044820.KS,22800,59700.00
13,63000.00,60800.00,2016-07-11,63000.00,60800.00,044820.KS,55800,60300.00
14,67200.00,63500.00,2016-07-08,66700.00,63500.00,044820.KS,53300,61400.00
15,67700.00,66700.00,2016-07-07,66700.00,66700.00,044820.KS,22800,65600.00
16,67200.00,67100.00,2016-07-06,66200.00,67100.00,044820.KS,23900,64600.00
17,67500.00,67500.00,2016-07-05,65500.00,67500.00,044820.KS,13700,65200.00
18,67400.00,66100.00,2016-07-04,63700.00,66100.00,044820.KS,13600,63700.00
19,65200.00,64200.00,2016-07-01,64200.00,64200.00,044820.KS,9600,64000.00
20,66000.00,63700.00,2016-06-30,63500.00,63700.00,044820.KS,20300,63500.00
21,64200.00,63500.00,2016-06-29,61900.00,63500.00,044820.KS,8800,61900.00
22,62400.00,61800.00,2016-06-28,60300.00,61800.00,044820.KS,20100,59400.00
23,61300.00,60500.00,2016-06-27,57300.00,60500.00,044820.KS,15200,57300.00
24,65600.00,60600.00,2016-06-24,65000.00,60600.00,044820.KS,18600,58600.00
25,65500.00,64600.00,2016-06-23,64100.00,64600.00,044820.KS,14800,63100.00
26,65900.00,64600.00,2016-06-22,65100.00,64600.00,044820.KS,5800,64100.00
27,66400.00,65000.00,2016-06-21,64100.00,65000.00,044820.KS,9900,64100.00
28,64900.00,64800.00,2016-06-20,64600.00,64800.00,044820.KS,5600,64000.00
29,65000.00,63900.00,2016-06-17,63900.00,63900.00,044820.KS,11700,63600.00
30,66500.00,64100.00,2016-06-16,66300.00,64100.00,044820.KS,14400,63500.00
31,66900.00,66000.00,2016-06-15,65400.00,66000.00,044820.KS,14800,64800.00
32,69000.00,66100.00,2016-06-14,68400.00,66100.00,044820.KS,25400,65800.00
33,69900.00,69400.00,2016-06-13,66700.00,69400.00,044820.KS,84800,65200.00
34,68000.00,68000.00,2016-06-10,62700.00,68000.00,044820.KS,96400,62600.00
35,64200.00,62800.00,2016-06-09,63400.00,62800.00,044820.KS,49100,62400.00
36,64100.00,63800.00,2016-06-08,63400.00,63800.00,044820.KS,22000,62400.00
37,64800.00,63800.00,2016-06-07,63500.00,63800.00,044820.KS,22300,62000.00
38,63600.00,63600.00,2016-06-06,63600.00,63600.00,044820.KS,000,63600.00
39,64000.00,63600.00,2016-06-03,64000.00,63600.00,044820.KS,47700,61700.00
40,64000.00,64000.00,2016-06-02,62400.00,64000.00,044820.KS,46900,61200.00
41,62900.00,62400.00,2016-06-01,58500.00,62400.00,044820.KS,63200,58500.00
42,59500.00,58500.00,2016-05-31,58800.00,58500.00,044820.KS,22000,58100.00
43,59100.00,58400.00,2016-05-30,58800.00,58400.00,044820.KS,23600,57400.00
44,59600.00,58900.00,2016-05-27,59600.00,58900.00,044820.KS,8900,58500.00
45,59500.00,59000.00,2016-05-26,59300.00,59000.00,044820.KS,35400,58500.00
46,60200.00,59300.00,2016-05-25,60200.00,59300.00,044820.KS,35500,58000.00
47,59700.00,59000.00,2016-05-24,59500.00,59000.00,044820.KS,17400,58600.00
