,High,Low,Open,Symbol,Close,Volume,Adj_Close,Date
0,0.74625,0.74625,0.74625,GSDO.L,0.75625,2900,0.75625,2012-12-28
1,0.74,0.7325,0.74,GSDO.L,0.7325,93700,0.7325,2012-12-27
2,1.0242,1.0242,1.0242,GSDO.L,1.0242,000,1.0242,2012-12-26
3,1.0242,1.0242,1.0242,GSDO.L,1.0242,000,1.0242,2012-12-25
4,0.74,0.7375,0.74,GSDO.L,0.7375,6000,0.7375,2012-12-24
5,0.75,0.725,0.75,GSDO.L,0.725,166100,0.725,2012-12-21
6,0.7425,0.74,0.7425,GSDO.L,0.74,13000,0.74,2012-12-20
7,0.75,0.75,0.75,GSDO.L,0.75,000,0.75,2012-12-19
8,0.74,0.74,0.74,GSDO.L,0.74,000,0.74,2012-12-18
9,0.75,0.7425,0.75,GSDO.L,0.7425,284600,0.7425,2012-12-17
10,0.7553,0.74,0.7425,GSDO.L,0.7425,84700,0.7425,2012-12-14
11,0.78,0.74,0.74,GSDO.L,0.7425,32400,0.7425,2012-12-13
12,0.7625,0.7459,0.76,GSDO.L,0.75625,11100,0.75625,2012-12-12
13,0.7575,0.7575,0.7575,GSDO.L,0.74875,3500,0.74875,2012-12-11
14,0.7417,0.725,0.73063,GSDO.L,0.725,200,0.725,2012-12-10
15,0.75,0.7225,0.7425,GSDO.L,0.7225,96100,0.7225,2012-12-07
16,0.7583,0.72,0.72,GSDO.L,0.7525,35800,0.7525,2012-12-06
17,0.7122,0.6925,0.695,GSDO.L,0.695,33900,0.695,2012-12-05
18,0.74,0.6925,0.74,GSDO.L,0.695,276400,0.695,2012-12-04
19,0.9325,0.7525,0.93,GSDO.L,0.7525,450400,0.7525,2012-12-03
20,0.9425,0.9425,0.9425,GSDO.L,0.9425,000,0.9425,2012-11-30
21,0.9325,0.9325,0.9325,GSDO.L,0.94125,2000,0.94125,2012-11-29
22,0.93625,0.93625,0.93625,GSDO.L,0.93625,000,0.93625,2012-11-28
23,0.9301,0.9301,0.9301,GSDO.L,0.93625,600,0.93625,2012-11-27
24,0.9375,0.92,0.9375,GSDO.L,0.93,21700,0.93,2012-11-26
