,High,Close,Date,Open,Adj_Close,Symbol,Volume,Low
0,3.27,3.24,2016-07-27,3.23,3.24,SDP.L,104500,3.17
1,3.60673,3.60673,2016-07-26,3.60673,3.60673,SDP.L,000,3.60673
2,3.185,3.16,2016-07-25,3.16,3.16,SDP.L,34200,3.1564
3,3.185,3.16625,2016-07-22,3.18,3.16625,SDP.L,22400,3.15
4,3.57362,3.57362,2016-07-21,3.57362,3.57362,SDP.L,000,3.57362
5,3.57282,3.57282,2016-07-20,3.57282,3.57282,SDP.L,000,3.57282
6,3.5701,3.5701,2016-07-19,3.5701,3.5701,SDP.L,000,3.5701
7,3.54064,3.54064,2016-07-18,3.54064,3.54064,SDP.L,000,3.54064
8,3.52735,3.52735,2016-07-15,3.52735,3.52735,SDP.L,000,3.52735
9,3.5005,3.5005,2016-07-14,3.5005,3.5005,SDP.L,000,3.5005
10,3.50845,3.50845,2016-07-13,3.50845,3.50845,SDP.L,000,3.50845
11,3.50317,3.50317,2016-07-12,3.50317,3.50317,SDP.L,000,3.50317
12,3.51141,3.51141,2016-07-11,3.51141,3.51141,SDP.L,000,3.51141
13,3.46463,3.46463,2016-07-08,3.46463,3.46463,SDP.L,000,3.46463
14,3.47677,3.47677,2016-07-07,3.47677,3.47677,SDP.L,000,3.47677
15,3.45526,3.45526,2016-07-06,3.45526,3.45526,SDP.L,000,3.45526
16,3.44229,3.44229,2016-07-05,3.44229,3.44229,SDP.L,000,3.44229
17,3.40599,3.40599,2016-07-04,3.40599,3.40599,SDP.L,000,3.40599
18,3.38997,3.38997,2016-07-01,3.38997,3.38997,SDP.L,000,3.38997
19,3.3442,3.3442,2016-06-30,3.3442,3.3442,SDP.L,000,3.3442
20,3.25315,3.25315,2016-06-29,3.25315,3.25315,SDP.L,000,3.25315
21,3.25731,3.25731,2016-06-28,3.25731,3.25731,SDP.L,000,3.25731
22,3.26827,3.26827,2016-06-27,3.26827,3.26827,SDP.L,000,3.26827
23,3.14981,3.14981,2016-06-24,3.14981,3.14981,SDP.L,000,3.14981
24,2.98842,2.98842,2016-06-23,2.98842,2.98842,SDP.L,000,2.98842
