,High,Close,Date,Open,Adj_Close,Symbol,Volume,Low
0,674.50,671.00,2016-07-27,661.00,671.00,MRO.L,503900,660.00
1,664.00,660.00,2016-07-26,649.00,660.00,MRO.L,1057300,646.00
2,649.50,644.50,2016-07-25,642.50,644.50,MRO.L,705700,623.00
3,648.00,646.50,2016-07-22,634.00,646.50,MRO.L,611400,630.875
4,640.50,640.00,2016-07-21,638.50,640.00,MRO.L,269000,626.50
5,643.24,640.00,2016-07-20,641.50,640.00,MRO.L,441300,625.50
6,834.50,634.50,2016-07-19,643.00,634.50,MRO.L,615100,614.00
7,661.50,639.50,2016-07-18,650.50,639.50,MRO.L,628800,625.50
8,665.00,664.00,2016-07-15,656.00,664.00,MRO.L,842400,639.50
9,660.375,652.00,2016-07-14,622.50,652.00,MRO.L,858900,619.84
10,632.50,621.50,2016-07-13,599.00,621.50,MRO.L,1075400,580.686
11,597.14,590.50,2016-07-12,576.00,590.50,MRO.L,979300,566.50
12,581.00,580.00,2016-07-11,551.50,580.00,MRO.L,1340000,547.00
13,571.625,554.00,2016-07-08,570.50,554.00,MRO.L,1000400,539.00
14,597.00,569.00,2016-07-07,595.50,569.00,MRO.L,1989400,553.00
15,609.00,597.50,2016-07-06,444.00,597.50,MRO.L,5075600,440.00
16,420.50,409.75,2016-07-05,420.50,409.75,MRO.L,450600,404.688
17,436.00,418.25,2016-07-04,433.50,418.25,MRO.L,772100,415.75
18,433.50,429.00,2016-07-01,428.75,429.00,MRO.L,523000,426.00
19,425.75,425.75,2016-06-30,409.75,425.75,MRO.L,757800,407.50
20,409.75,408.25,2016-06-29,407.25,408.25,MRO.L,1341900,397.25
21,411.25,405.75,2016-06-28,408.00,405.75,MRO.L,780100,402.50
22,417.75,401.50,2016-06-27,414.25,401.50,MRO.L,1359500,400.75
23,415.25,413.50,2016-06-24,395.00,413.50,MRO.L,1504300,394.00
24,420.75,419.75,2016-06-23,420.50,419.75,MRO.L,522000,415.25
25,423.00,419.00,2016-06-22,417.25,419.00,MRO.L,862000,410.15
26,417.00,414.00,2016-06-21,415.75,414.00,MRO.L,574300,405.00
27,424.00,419.75,2016-06-20,404.75,419.75,MRO.L,1068500,404.75
28,414.40,414.40,2016-06-17,386.40,414.40,MRO.L,5309000,384.60
29,394.70,383.60,2016-06-16,390.00,383.60,MRO.L,986300,381.80
30,395.30,392.10,2016-06-15,393.20,392.10,MRO.L,974500,390.90
31,397.50,390.00,2016-06-14,397.50,390.00,MRO.L,1324600,385.30
32,399.84,395.50,2016-06-13,395.80,395.50,MRO.L,763400,387.30
33,406.00,401.00,2016-06-10,400.80,401.00,MRO.L,1149700,396.70
34,403.60,403.20,2016-06-09,387.20,403.20,MRO.L,1272100,387.20
35,391.10,387.70,2016-06-08,386.60,387.70,MRO.L,1950800,383.80
