,High,Low,Open,Symbol,Close,Volume,Adj_Close,Date
0,737.00,727.00,727.50,KFX.L,735.00,655200,735.00,2015-03-30
1,736.50,730.00,731.00,KFX.L,733.00,1571400,733.00,2015-03-27
2,737.50,721.00,730.00,KFX.L,734.00,3960200,734.00,2015-03-26
3,740.00,505.66,733.00,KFX.L,732.50,763600,732.50,2015-03-25
4,509.50,490.00,490.00,KFX.L,503.00,81900,503.00,2015-03-24
5,508.50,491.63,499.00,KFX.L,500.00,37800,500.00,2015-03-23
6,510.00,486.50,494.25,KFX.L,510.00,60000,510.00,2015-03-20
7,504.50,480.00,488.00,KFX.L,496.25,57900,496.25,2015-03-19
8,496.00,491.00,493.00,KFX.L,494.00,29600,494.00,2015-03-18
9,494.75,492.00,492.00,KFX.L,492.50,13100,492.50,2015-03-17
10,515.00,488.53,510.00,KFX.L,495.25,31700,495.25,2015-03-16
11,501.00,465.75,481.50,KFX.L,500.50,57000,500.50,2015-03-13
12,480.00,461.00,461.00,KFX.L,478.75,36000,478.75,2015-03-12
13,455.00,436.30,445.25,KFX.L,452.75,27400,452.75,2015-03-11
14,456.00,440.00,456.00,KFX.L,444.00,32700,444.00,2015-03-10
15,455.00,441.38,452.00,KFX.L,451.75,40800,451.75,2015-03-09
16,458.00,438.50,438.75,KFX.L,450.25,34800,450.25,2015-03-06
17,449.50,436.25,446.25,KFX.L,449.00,19500,449.00,2015-03-05
18,443.71,430.00,430.00,KFX.L,440.00,27500,440.00,2015-03-04
19,446.12,430.00,430.00,KFX.L,439.50,72800,439.50,2015-03-03
20,441.25,434.75,439.00,KFX.L,438.50,22700,438.50,2015-03-02
21,442.00,433.35,439.25,KFX.L,442.00,12000,442.00,2015-02-27
22,440.00,417.88,427.00,KFX.L,438.00,79300,438.00,2015-02-26
23,440.50,432.00,440.00,KFX.L,436.75,14400,436.75,2015-02-25
24,444.00,431.75,431.75,KFX.L,437.00,45300,437.00,2015-02-24
25,437.75,432.50,435.25,KFX.L,437.50,28700,437.50,2015-02-23
26,443.00,437.33,440.50,KFX.L,439.00,33300,439.00,2015-02-20
27,444.00,436.25,440.00,KFX.L,440.75,27900,440.75,2015-02-19
28,450.27,441.75,442.25,KFX.L,441.75,60700,441.75,2015-02-18
29,451.75,435.88,445.50,KFX.L,446.375,43700,446.375,2015-02-17
30,453.00,445.00,453.00,KFX.L,448.875,9400,448.875,2015-02-16
31,454.50,443.00,448.50,KFX.L,450.25,36100,450.25,2015-02-13
32,458.00,449.54,451.75,KFX.L,452.50,20400,452.50,2015-02-12
33,457.75,453.75,454.75,KFX.L,457.00,5800,457.00,2015-02-11
34,459.75,445.23,455.00,KFX.L,456.50,26800,456.50,2015-02-10
35,468.00,440.50,463.75,KFX.L,463.00,38300,463.00,2015-02-09
36,479.25,463.375,470.00,KFX.L,472.50,23900,472.50,2015-02-06
37,476.00,465.00,470.00,KFX.L,469.00,15500,469.00,2015-02-05
38,481.313,473.88,478.25,KFX.L,476.50,30900,476.50,2015-02-04
39,491.25,449.94,465.00,KFX.L,482.25,33800,482.25,2015-02-03
40,458.75,440.25,440.25,KFX.L,454.625,31400,454.625,2015-02-02
41,458.50,440.00,451.75,KFX.L,456.50,20000,456.50,2015-01-30
42,460.00,441.38,460.00,KFX.L,450.00,34500,450.00,2015-01-29
43,450.00,436.75,438.75,KFX.L,443.125,18400,443.125,2015-01-28
44,445.00,425.00,442.75,KFX.L,443.875,45300,443.875,2015-01-27
45,465.63,450.00,464.00,KFX.L,460.00,23300,460.00,2015-01-26
46,472.75,440.00,456.00,KFX.L,468.00,76400,468.00,2015-01-23
47,458.75,447.175,455.00,KFX.L,458.75,13800,458.75,2015-01-22
48,455.00,447.00,447.00,KFX.L,454.00,13700,454.00,2015-01-21
49,455.25,440.00,451.25,KFX.L,440.00,9200,440.00,2015-01-20
50,460.00,449.94,460.00,KFX.L,451.00,2800,451.00,2015-01-19
51,458.80,445.74,455.00,KFX.L,453.00,32700,453.00,2015-01-16
52,450.75,445.00,450.75,KFX.L,451.625,4400,451.625,2015-01-15
53,460.75,451.978,460.75,KFX.L,453.125,3000,453.125,2015-01-14
54,464.00,444.50,445.00,KFX.L,458.625,25500,458.625,2015-01-13
55,449.08,443.75,448.50,KFX.L,447.75,6000,447.75,2015-01-12
56,460.00,442.58,460.00,KFX.L,457.50,1400,457.50,2015-01-09
57,448.00,441.454,445.00,KFX.L,444.50,18500,444.50,2015-01-08
58,454.26,440.00,444.25,KFX.L,442.75,22200,442.75,2015-01-07
59,458.00,453.50,453.75,KFX.L,449.625,10500,449.625,2015-01-06
60,460.00,440.25,458.75,KFX.L,458.00,27400,458.00,2015-01-05
61,458.00,451.369,458.00,KFX.L,453.50,5900,453.50,2015-01-02
62,451.125,451.125,451.125,KFX.L,451.125,000,451.125,2015-01-01
63,455.258,451.20,451.20,KFX.L,451.125,33500,451.125,2014-12-31
64,462.00,454.99,461.00,KFX.L,455.75,5400,455.75,2014-12-30
65,473.00,450.00,450.00,KFX.L,471.00,12400,471.00,2014-12-29
66,433.125,433.125,433.125,KFX.L,433.125,000,433.125,2014-12-26
67,433.125,433.125,433.125,KFX.L,433.125,000,433.125,2014-12-25
68,440.50,439.50,440.00,KFX.L,433.125,1700,433.125,2014-12-24
69,440.00,433.50,435.00,KFX.L,439.25,27700,439.25,2014-12-23
70,434.00,415.00,433.75,KFX.L,427.875,43400,427.875,2014-12-22
71,440.25,418.00,420.25,KFX.L,418.00,7700,418.00,2014-12-19
72,436.75,418.75,418.75,KFX.L,436.75,5300,436.75,2014-12-18
73,416.063,407.05,412.50,KFX.L,413.00,2100,413.00,2014-12-17
74,412.50,408.50,412.00,KFX.L,411.50,22900,411.50,2014-12-16
75,424.75,412.00,424.75,KFX.L,412.00,36200,412.00,2014-12-15
76,425.75,416.50,424.75,KFX.L,417.875,900,417.875,2014-12-12
77,433.00,424.25,424.25,KFX.L,426.375,300,426.375,2014-12-11
78,430.287,428.50,428.75,KFX.L,429.75,18600,429.75,2014-12-10
79,430.00,421.11,423.00,KFX.L,426.375,8300,426.375,2014-12-09
80,440.00,432.68,437.75,KFX.L,437.00,3000,437.00,2014-12-08
81,442.00,415.16,434.75,KFX.L,425.00,11800,425.00,2014-12-05
82,437.198,428.25,428.25,KFX.L,431.25,3000,431.25,2014-12-04
