,col0,Symbol
0,<html><head><title>Yahoo! - 404 Not Found</title><style>,ALTR
1,/* nn4 hide */,ALTR
2,/*/*/,ALTR
3,body {font:small/1.2em arial,ALTR
4,html>body {font:83%/1.2em arial,ALTR
5,p {padding-bottom:6px;margin-bottom:10px;}#doc {width:48.5em;margin:0 auto;border:1px solid #fff;text-align:center;}#ygma {text-align:right;margin-bottom:53px},ALTR
6,#ygma img {float:left;}#ygma div {border-bottom:1px solid #ccc;padding-bottom:8px;margin-left:152px;}#bd {clear:both;text-align:left;width:75%;margin:0 auto 20px;},ALTR
7,h1 {font-size:135%;text-align:center;margin:0 0 15px;}legend {display:none;}fieldset {border:0 solid #fff;padding:.8em 0 .8em 4.5em;},ALTR
8,form {position:relative;background:#eee;margin-bottom:15px;border:1px solid #ccc;border-width:1px 0;},ALTR
9,#s1p {width:15em;margin-right:.1em;},ALTR
10,form span {position:absolute;left:70%;top:.8em;}form a {font:78%/1.2em arial;display:block;padding-left:.8em;white-space:nowrap;background: url(http://l.yimg.com/a/i/s/bullet.gif) no-repeat left center;},ALTR
11,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},ALTR
12,/* end nn4 hide */,ALTR
13,</style></head>,ALTR
14,"<body><div id=""doc"">",ALTR
15,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",ALTR
16,src=http://l.yimg.com/a/i/yahoo.gif,ALTR
17,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",ALTR
18,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",ALTR
19,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",ALTR
20,"<div id=""bd""><h1>Sorry",ALTR
21,<p>Please check the URL for proper spelling and capitalization. If,ALTR
22,you're having trouble locating a destination on Yahoo!,ALTR
23,<strong><a,ALTR
24,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",ALTR
25,page</a></strong> or look through a list of <strong><a,ALTR
26,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",ALTR
27,online services</a></strong>. Also,ALTR
28,if you try searching below.</p>,ALTR
29,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",ALTR
30,"<legend><label for=""s1p"">Search the Web</label></legend>",ALTR
31,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",ALTR
32,"<input type=""submit"" value=""Search"">",ALTR
33,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",ALTR
34,</fieldset></form>,ALTR
35,"<p class=""more"">Please try <strong><a",ALTR
36,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",ALTR
37,Help Central</a></strong> if you need more assistance.</p>,ALTR
38,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",ALTR
39,All rights reserved. <a,ALTR
40,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",ALTR
41,Policy</a> - <a,ALTR
42,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",ALTR
43,of Service</a></p></div>,ALTR
44,</div></body></html>,ALTR
