,Symbol,Close,Open,High,Low,Adj_Close,Volume,Date
0,AI.PA,96.80,96.27,97.46,96.24,96.80,625200,2016-07-27
1,AI.PA,96.14,95.65,96.46,95.27,96.14,443100,2016-07-26
2,AI.PA,95.72,95.53,96.83,95.43,95.72,568900,2016-07-25
3,AI.PA,95.64,94.72,95.64,94.23,95.64,471100,2016-07-22
4,AI.PA,95.07,94.84,95.24,93.89,95.07,544200,2016-07-21
5,AI.PA,95.11,95.39,95.97,94.72,95.11,650900,2016-07-20
6,AI.PA,95.13,95.56,95.64,94.36,95.13,577500,2016-07-19
7,AI.PA,95.87,95.90,96.83,95.17,95.87,550400,2016-07-18
8,AI.PA,95.89,94.50,95.98,94.37,95.89,840700,2016-07-15
9,AI.PA,94.81,94.08,95.37,93.90,94.81,888800,2016-07-14
10,AI.PA,93.60,93.04,93.94,93.04,93.60,736100,2016-07-13
11,AI.PA,93.37,92.31,93.85,92.02,93.37,720900,2016-07-12
12,AI.PA,92.17,90.49,92.25,90.48,92.17,797700,2016-07-11
13,AI.PA,89.87,89.63,91.14,89.26,89.87,1185000,2016-07-08
14,AI.PA,89.96,89.92,90.61,88.90,89.96,1106700,2016-07-07
15,AI.PA,89.60,92.00,92.47,89.37,89.60,1800800,2016-07-06
16,AI.PA,93.50,93.96,94.24,92.27,93.50,1172200,2016-07-05
17,AI.PA,94.47,95.19,95.27,94.01,94.47,582300,2016-07-04
18,AI.PA,94.68,94.59,95.37,93.81,94.68,971000,2016-07-01
19,AI.PA,94.06,92.54,94.10,92.09,94.06,1206800,2016-06-30
20,AI.PA,93.03,91.04,93.03,90.77,93.03,1036900,2016-06-29
21,AI.PA,90.08,90.16,91.31,89.94,90.08,1383500,2016-06-28
22,AI.PA,88.71,90.40,91.55,88.25,88.71,2344900,2016-06-27
23,AI.PA,90.87,90.00,92.83,89.15,90.87,3553700,2016-06-24
24,AI.PA,96.19,95.00,96.65,94.68,96.19,1202900,2016-06-23
25,AI.PA,94.71,94.76,95.57,94.20,94.71,699400,2016-06-22
26,AI.PA,94.23,93.65,94.87,93.30,94.23,850000,2016-06-21
27,AI.PA,93.55,93.63,94.30,93.19,93.55,796400,2016-06-20
28,AI.PA,91.31,91.94,92.32,90.92,91.31,2142900,2016-06-17
29,AI.PA,91.06,90.52,91.42,90.32,91.06,1201400,2016-06-16
30,AI.PA,91.29,91.00,92.17,90.91,91.29,1213300,2016-06-15
31,AI.PA,90.26,91.50,91.77,90.26,90.26,1583700,2016-06-14
32,AI.PA,92.04,92.39,92.92,91.87,92.04,1085900,2016-06-13
33,AI.PA,93.21,93.91,94.08,92.45,93.21,1494500,2016-06-10
34,AI.PA,94.11,94.26,94.63,93.76,94.11,953800,2016-06-09
35,AI.PA,94.79,95.08,95.21,94.41,94.79,808600,2016-06-08
36,AI.PA,95.20,95.53,95.90,95.15,95.20,1018600,2016-06-07
37,AI.PA,94.96,95.20,95.67,94.70,94.96,800900,2016-06-06
38,AI.PA,95.23,97.11,97.41,95.04,95.23,1265600,2016-06-03
39,AI.PA,97.00,96.80,97.56,96.53,97.00,710400,2016-06-02
40,AI.PA,96.83,96.45,97.28,96.01,96.83,882300,2016-06-01
41,AI.PA,96.53,98.58,98.70,96.53,96.53,1012900,2016-05-31
42,AI.PA,98.60,97.68,98.62,97.51,98.60,361100,2016-05-30
43,AI.PA,97.73,98.00,98.50,97.37,97.73,726700,2016-05-27
44,AI.PA,98.17,96.97,98.35,96.97,98.17,739700,2016-05-26
45,AI.PA,97.15,97.40,97.65,96.68,97.15,709900,2016-05-25
46,AI.PA,96.52,94.00,97.07,93.80,96.52,1053500,2016-05-24
47,AI.PA,94.15,95.00,95.55,93.93,94.15,883100,2016-05-23
48,AI.PA,97.17,96.72,97.51,96.43,94.57,1054200,2016-05-20
49,AI.PA,95.74,96.18,96.43,95.29,93.1783,694700,2016-05-19
50,AI.PA,96.50,95.41,96.63,94.97,93.9179,673200,2016-05-18
51,AI.PA,95.99,96.60,97.28,94.98,93.4216,738100,2016-05-17
52,AI.PA,96.07,96.04,96.33,95.30,93.4994,316800,2016-05-16
53,AI.PA,96.21,94.20,96.70,93.85,93.6357,904900,2016-05-13
54,AI.PA,94.81,95.19,95.82,94.27,92.2731,796600,2016-05-12
55,AI.PA,95.31,95.61,95.79,94.65,92.7598,672800,2016-05-11
56,AI.PA,95.68,95.97,96.08,94.87,93.1199,747600,2016-05-10
57,AI.PA,95.28,95.96,96.49,95.08,92.7306,798700,2016-05-09
58,AI.PA,95.46,94.80,95.79,94.00,92.9058,850600,2016-05-06
59,AI.PA,95.25,95.31,96.23,94.87,92.7014,865000,2016-05-05
60,AI.PA,95.29,97.01,97.46,95.22,92.7403,1430100,2016-05-04
61,AI.PA,97.56,99.00,99.02,97.16,94.9496,932600,2016-05-03
62,AI.PA,99.29,99.56,100.40,99.19,96.6333,455100,2016-05-02
63,AI.PA,99.00,99.58,99.75,98.02,96.351,1293500,2016-04-29
64,AI.PA,100.40,99.71,100.60,98.50,97.7136,918400,2016-04-28
65,AI.PA,99.95,99.45,100.50,99.20,97.2756,1030600,2016-04-27
66,AI.PA,100.65,101.55,104.00,99.28,97.9569,1868300,2016-04-26
67,AI.PA,105.75,104.80,105.75,104.20,102.9204,750100,2016-04-25
68,AI.PA,104.90,105.50,105.90,104.30,102.0932,850200,2016-04-22
69,AI.PA,106.00,106.20,106.65,104.95,103.1637,978000,2016-04-21
70,AI.PA,106.15,104.70,106.25,104.20,103.3097,707600,2016-04-20
71,AI.PA,105.00,102.55,105.00,102.50,102.1905,1074200,2016-04-19
72,AI.PA,102.55,100.40,102.80,100.15,99.806,735000,2016-04-18
73,AI.PA,101.65,101.00,101.70,100.75,98.9301,757700,2016-04-15
74,AI.PA,101.30,101.00,101.65,100.55,98.5895,817200,2016-04-14
75,AI.PA,101.20,99.00,101.20,98.96,98.4922,1152800,2016-04-13
76,AI.PA,97.85,95.94,97.85,95.40,95.2318,1129600,2016-04-12
77,AI.PA,95.40,94.24,95.63,93.57,92.8474,958800,2016-04-11
78,AI.PA,94.38,93.51,94.88,93.51,91.8546,684900,2016-04-08
79,AI.PA,93.42,95.12,95.57,93.01,90.9203,864300,2016-04-07
80,AI.PA,95.09,94.56,95.09,94.22,92.5457,851100,2016-04-06
81,AI.PA,94.38,95.45,95.58,94.06,91.8546,994100,2016-04-05
82,AI.PA,97.06,96.50,98.01,96.29,94.4629,620300,2016-04-04
83,AI.PA,96.99,98.09,98.09,95.63,94.3948,1075700,2016-04-01
84,AI.PA,98.89,100.50,100.50,98.72,96.244,901400,2016-03-31
85,AI.PA,100.95,99.41,101.25,99.14,98.2489,722700,2016-03-30
86,AI.PA,98.78,98.51,99.20,97.84,96.1369,685800,2016-03-29
87,AI.PA,98.12,98.12,98.12,98.12,95.4946,000,2016-03-28
88,AI.PA,98.12,98.12,98.12,98.12,95.4946,000,2016-03-25
89,AI.PA,98.12,99.00,99.29,98.05,95.4946,784300,2016-03-24
90,AI.PA,99.90,99.13,100.20,99.01,97.227,805000,2016-03-23
91,AI.PA,99.00,97.83,99.00,97.06,96.351,767000,2016-03-22
92,AI.PA,98.37,97.56,99.12,97.25,95.7379,665100,2016-03-21
93,AI.PA,98.02,97.38,98.34,96.64,95.3973,1595400,2016-03-18
94,AI.PA,97.25,99.24,99.24,96.14,94.6479,872900,2016-03-17
95,AI.PA,98.14,98.53,99.61,98.05,95.514,647500,2016-03-16
96,AI.PA,98.28,98.32,98.65,97.55,95.6503,840000,2016-03-15
97,AI.PA,99.50,99.83,100.15,99.13,96.8377,675500,2016-03-14
98,AI.PA,99.32,99.00,99.59,98.31,96.6625,882500,2016-03-11
99,AI.PA,97.26,99.44,102.60,96.72,94.6576,1821200,2016-03-10
100,AI.PA,99.51,98.56,100.15,98.10,96.8474,742100,2016-03-09
101,AI.PA,98.60,98.06,99.00,97.15,95.9617,993100,2016-03-08
102,AI.PA,98.63,97.34,98.63,97.05,95.9909,987400,2016-03-07
103,AI.PA,97.57,97.35,98.26,96.51,94.9593,1014400,2016-03-04
104,AI.PA,96.96,96.88,97.35,96.02,94.3656,675400,2016-03-03
105,AI.PA,96.83,97.96,98.16,96.05,94.2391,836700,2016-03-02
106,AI.PA,97.27,96.15,97.43,95.75,94.6673,779500,2016-03-01
107,AI.PA,96.18,95.00,96.20,94.42,93.6065,801500,2016-02-29
108,AI.PA,95.93,94.84,96.90,94.78,93.3632,979100,2016-02-26
109,AI.PA,93.98,94.03,94.63,93.08,91.4654,889200,2016-02-25
110,AI.PA,92.84,94.37,94.44,91.92,90.3559,1083000,2016-02-24
111,AI.PA,94.44,95.92,95.92,94.37,91.913,745400,2016-02-23
112,AI.PA,96.68,96.01,96.92,95.38,94.0931,1012700,2016-02-22
113,AI.PA,95.14,94.04,95.18,94.03,92.5943,1235600,2016-02-19
114,AI.PA,94.16,94.30,94.95,92.81,91.6405,1169500,2016-02-18
115,AI.PA,93.68,91.87,93.83,91.07,91.1734,1467100,2016-02-17
116,AI.PA,91.83,96.94,97.25,90.94,89.3729,2059400,2016-02-16
117,AI.PA,96.50,95.38,96.99,94.97,93.9179,1246600,2016-02-15
118,AI.PA,93.85,93.73,94.10,92.50,91.3388,1563400,2016-02-12
119,AI.PA,92.48,93.58,93.58,91.47,90.0055,1769000,2016-02-11
120,AI.PA,94.66,94.26,95.78,93.18,92.1272,1317100,2016-02-10
121,AI.PA,93.15,92.38,93.96,91.01,90.6576,2058800,2016-02-09
122,AI.PA,92.40,95.84,95.95,91.87,89.9276,1367200,2016-02-08
123,AI.PA,95.33,95.59,96.57,94.90,92.7792,1509700,2016-02-05
124,AI.PA,95.34,95.75,95.77,93.46,92.789,1581700,2016-02-04
125,AI.PA,94.57,93.92,95.05,93.38,92.0396,1661300,2016-02-03
126,AI.PA,94.02,94.49,94.83,93.10,91.5043,1228500,2016-02-02
127,AI.PA,94.86,95.83,95.90,94.06,92.3218,1362400,2016-02-01
128,AI.PA,95.22,96.03,96.24,93.76,92.6722,1520600,2016-01-29
129,AI.PA,94.63,94.78,95.67,93.73,92.098,1432000,2016-01-28
130,AI.PA,95.08,94.93,95.25,93.73,92.5359,1191200,2016-01-27
131,AI.PA,95.72,93.93,96.37,93.64,93.1588,1120100,2016-01-26
132,AI.PA,95.59,97.09,97.42,95.16,93.0323,844900,2016-01-25
