,Symbol,Close,Open,High,Low,Adj_Close,Volume,Date
0,AGN.AS,3.619,3.562,3.677,3.562,3.619,10870900,2016-07-27
1,AGN.AS,3.534,3.53,3.556,3.464,3.534,7231100,2016-07-26
2,AGN.AS,3.535,3.494,3.543,3.457,3.535,6487200,2016-07-25
3,AGN.AS,3.481,3.49,3.523,3.464,3.481,9705100,2016-07-22
4,AGN.AS,3.531,3.545,3.598,3.501,3.531,9386900,2016-07-21
5,AGN.AS,3.535,3.489,3.552,3.46,3.535,7952300,2016-07-20
6,AGN.AS,3.455,3.50,3.539,3.42,3.455,8915500,2016-07-19
7,AGN.AS,3.489,3.47,3.528,3.44,3.489,9813500,2016-07-18
8,AGN.AS,3.454,3.47,3.498,3.393,3.454,11559100,2016-07-15
9,AGN.AS,3.473,3.499,3.522,3.429,3.473,14949400,2016-07-14
10,AGN.AS,3.45,3.439,3.539,3.434,3.45,14662600,2016-07-13
11,AGN.AS,3.424,3.29,3.45,3.239,3.424,13062900,2016-07-12
12,AGN.AS,3.374,3.373,3.389,3.29,3.374,10829500,2016-07-11
13,AGN.AS,3.302,3.17,3.366,3.142,3.302,14374200,2016-07-08
14,AGN.AS,3.16,3.082,3.215,3.08,3.16,16656700,2016-07-07
15,AGN.AS,3.036,3.15,3.168,3.001,3.036,19737300,2016-07-06
16,AGN.AS,3.182,3.43,3.444,3.178,3.182,17596400,2016-07-05
17,AGN.AS,3.469,3.55,3.566,3.441,3.469,10334000,2016-07-04
18,AGN.AS,3.544,3.566,3.575,3.498,3.544,15203200,2016-07-01
19,AGN.AS,3.53,3.55,3.576,3.493,3.53,14717700,2016-06-30
20,AGN.AS,3.529,3.59,3.627,3.473,3.529,16548000,2016-06-29
21,AGN.AS,3.557,3.712,3.729,3.553,3.557,14481600,2016-06-28
22,AGN.AS,3.605,3.823,3.87,3.568,3.605,15348000,2016-06-27
23,AGN.AS,3.861,3.54,3.962,3.54,3.861,21764300,2016-06-24
24,AGN.AS,4.344,4.246,4.39,4.217,4.344,10050800,2016-06-23
25,AGN.AS,4.235,4.20,4.275,4.151,4.235,5481700,2016-06-22
26,AGN.AS,4.176,4.129,4.211,4.102,4.176,5949200,2016-06-21
27,AGN.AS,4.118,4.036,4.126,4.004,4.118,10238700,2016-06-20
28,AGN.AS,3.866,3.847,3.984,3.828,3.866,42813500,2016-06-17
29,AGN.AS,3.79,3.835,3.864,3.757,3.79,11490600,2016-06-16
30,AGN.AS,3.898,3.923,3.99,3.889,3.898,9840600,2016-06-15
31,AGN.AS,3.865,3.902,3.944,3.843,3.865,10885800,2016-06-14
32,AGN.AS,3.944,4.027,4.057,3.901,3.944,10562400,2016-06-13
33,AGN.AS,4.087,4.253,4.261,4.073,4.087,8599700,2016-06-10
34,AGN.AS,4.288,4.35,4.354,4.26,4.288,7705000,2016-06-09
35,AGN.AS,4.349,4.41,4.41,4.313,4.349,6779100,2016-06-08
36,AGN.AS,4.425,4.443,4.47,4.417,4.425,5564900,2016-06-07
37,AGN.AS,4.423,4.393,4.432,4.359,4.423,6078700,2016-06-06
38,AGN.AS,4.399,4.57,4.597,4.37,4.399,8807800,2016-06-03
39,AGN.AS,4.553,4.55,4.613,4.514,4.553,5898800,2016-06-02
40,AGN.AS,4.543,4.595,4.605,4.45,4.543,10156600,2016-06-01
41,AGN.AS,4.62,4.629,4.648,4.585,4.62,11505400,2016-05-31
42,AGN.AS,4.622,4.578,4.622,4.567,4.622,2727200,2016-05-30
43,AGN.AS,4.574,4.538,4.581,4.517,4.574,4732900,2016-05-27
44,AGN.AS,4.575,4.55,4.589,4.497,4.575,10313200,2016-05-26
45,AGN.AS,4.552,4.561,4.605,4.516,4.552,10962100,2016-05-25
46,AGN.AS,4.518,4.30,4.52,4.289,4.518,7861200,2016-05-24
47,AGN.AS,4.451,4.492,4.499,4.357,4.321,8092700,2016-05-23
48,AGN.AS,4.502,4.469,4.509,4.442,4.37051,7670600,2016-05-20
49,AGN.AS,4.417,4.397,4.487,4.385,4.28799,12251200,2016-05-19
50,AGN.AS,4.362,4.22,4.372,4.183,4.2346,12872200,2016-05-18
51,AGN.AS,4.29,4.333,4.369,4.27,4.1647,9005300,2016-05-17
52,AGN.AS,4.31,4.291,4.311,4.227,4.18412,6223000,2016-05-16
53,AGN.AS,4.319,4.253,4.331,4.177,4.19286,15267400,2016-05-13
54,AGN.AS,4.278,4.42,4.51,4.252,4.15305,32940500,2016-05-12
55,AGN.AS,4.827,4.857,4.877,4.752,4.68602,10519500,2016-05-11
56,AGN.AS,4.878,4.889,4.958,4.841,4.73553,7882800,2016-05-10
57,AGN.AS,4.829,4.879,4.923,4.80,4.68796,7702300,2016-05-09
58,AGN.AS,4.835,4.80,4.893,4.744,4.69378,9466300,2016-05-06
59,AGN.AS,4.822,4.89,4.91,4.807,4.68116,9210000,2016-05-05
60,AGN.AS,4.856,4.866,4.93,4.85,4.71417,9273300,2016-05-04
61,AGN.AS,4.88,5.093,5.098,4.87,4.73747,12421300,2016-05-03
62,AGN.AS,5.085,5.038,5.093,5.001,4.93648,6341800,2016-05-02
63,AGN.AS,5.012,5.11,5.168,5.005,4.86561,10941400,2016-04-29
64,AGN.AS,5.177,5.095,5.177,5.058,5.0258,8377700,2016-04-28
65,AGN.AS,5.14,5.16,5.211,5.102,4.98988,7218400,2016-04-27
66,AGN.AS,5.174,5.141,5.215,5.108,5.02288,9544500,2016-04-26
67,AGN.AS,5.117,5.358,5.399,5.10,4.96755,13616400,2016-04-25
68,AGN.AS,5.385,5.349,5.406,5.292,5.22772,8710100,2016-04-22
69,AGN.AS,5.359,5.232,5.379,5.223,5.20248,11871600,2016-04-21
70,AGN.AS,5.245,5.144,5.247,5.097,5.09181,11554200,2016-04-20
71,AGN.AS,5.145,5.125,5.206,5.12,4.99473,9829400,2016-04-19
72,AGN.AS,5.159,5.055,5.161,5.02,5.00832,6778600,2016-04-18
73,AGN.AS,5.13,5.173,5.18,5.095,4.98017,10484500,2016-04-15
74,AGN.AS,5.181,5.145,5.214,5.125,5.02968,11339300,2016-04-14
75,AGN.AS,5.148,4.959,5.15,4.957,4.99764,11005700,2016-04-13
76,AGN.AS,4.91,4.876,4.963,4.826,4.76659,9219000,2016-04-12
77,AGN.AS,4.855,4.742,4.907,4.73,4.7132,10224600,2016-04-11
78,AGN.AS,4.716,4.613,4.757,4.613,4.57826,6385300,2016-04-08
79,AGN.AS,4.599,4.641,4.68,4.582,4.46468,9490700,2016-04-07
80,AGN.AS,4.622,4.611,4.673,4.574,4.48701,7751500,2016-04-06
81,AGN.AS,4.612,4.718,4.718,4.604,4.4773,8580700,2016-04-05
82,AGN.AS,4.767,4.715,4.835,4.688,4.62777,7691700,2016-04-04
83,AGN.AS,4.715,4.774,4.775,4.696,4.57729,10428400,2016-04-01
84,AGN.AS,4.834,4.88,4.937,4.829,4.69281,6958400,2016-03-31
85,AGN.AS,4.904,4.90,4.957,4.893,4.76077,7148400,2016-03-30
86,AGN.AS,4.936,4.95,5.057,4.891,4.79183,4681000,2016-03-29
87,AGN.AS,4.915,4.915,4.915,4.915,4.77145,000,2016-03-28
88,AGN.AS,4.915,4.915,4.915,4.915,4.77145,000,2016-03-25
89,AGN.AS,4.915,5.026,5.077,4.901,4.77145,7667700,2016-03-24
90,AGN.AS,5.058,5.081,5.116,5.038,4.91027,5471000,2016-03-23
91,AGN.AS,5.061,5.06,5.082,4.996,4.91318,5748100,2016-03-22
92,AGN.AS,5.084,5.093,5.168,5.06,4.93551,6432400,2016-03-21
93,AGN.AS,5.13,5.12,5.16,5.03,4.98017,13157000,2016-03-18
94,AGN.AS,5.104,5.129,5.136,4.963,4.95493,7083300,2016-03-17
95,AGN.AS,5.075,5.00,5.093,4.961,4.92677,6836300,2016-03-16
96,AGN.AS,5.005,5.05,5.075,5.003,4.85882,5768800,2016-03-15
