"Index","Demand","WorkDay","Temperature"
"2014",3.91464713,0,18.2
"2014.00005707763",3.672549608,0,17.9
"2014.00011415525",3.49753903,0,17.6
"2014.00017123288",3.339144792,0,16.8
"2014.0002283105",3.204312604,0,16.3
"2014.00028538813",3.100042586,0,16.6
"2014.00034246575",3.03946753,0,16.6
"2014.00039954338",3.012088648,0,16.7
"2014.000456621",3.017270254,0,16.2
"2014.00051369863",3.02667176,0,16.6
"2014.00057077626",3.042571012,0,17.8
"2014.00062785388",3.06684604,0,18.1
"2014.00068493151",3.130006372,0,19.1
"2014.00074200913",3.229404258,0,20.3
"2014.00079908676",3.23186119,0,19.9
"2014.00085616438",3.319817796,0,21.3
"2014.00091324201",3.431795484,0,21.9
"2014.00097031963",3.50232867,0,22.8
"2014.00102739726",3.577585806,0,23.4
"2014.00108447489",3.662798382,0,24
"2014.00114155251",3.69439488,0,24.6
"2014.00119863014",3.76573708,0,25
"2014.00125570776",3.848776214,0,26
"2014.00131278539",3.86817164,0,25.8
"2014.00136986301",3.858321318,0,25.3
"2014.00142694064",3.844509558,0,25.3
"2014.00148401826",3.837085448,0,23.7
"2014.00154109589",3.840860404,0,23.6
"2014.00159817352",3.847447728,0,21.9
"2014.00165525114",3.873634212,0,19.5
"2014.00171232877",3.888748828,0,18.9
"2014.00176940639",3.934559662,0,19.4
"2014.00182648402",4.039507452,0,21.8
"2014.00188356164",4.124618318,0,23.5
"2014.00194063927",4.139078976,0,22.6
"2014.00199771689",4.096979848,0,22.7
"2014.00205479452",4.029811492,0,21.6
"2014.00211187215",3.993029164,0,23.2
"2014.00216894977",3.949475578,0,22
"2014.0022260274",3.981284612,0,22.3
"2014.00228310502",3.965314702,0,22
"2014.00234018265",3.89795789,0,22.1
"2014.00239726027",3.772791124,0,22.2
"2014.0024543379",3.614190022,0,22.1
"2014.00251141553",3.572151378,0,21.6
"2014.00256849315",3.597783036,0,20.4
"2014.00262557078",3.948083686,0,19.7
"2014.0026826484",4.053242124,0,19.3
"2014.00273972603",3.753879498,1,18.7
"2014.00279680365",3.491805152,1,18.2
"2014.00285388128",3.314171014,1,17.4
"2014.0029109589",3.184643156,1,17.1
"2014.00296803653",3.078028286,1,16.4
"2014.00302511416",3.016604436,1,16.2
"2014.00308219178",3.000143298,1,15.9
"2014.00313926941",3.006999744,1,15.5
"2014.00319634703",3.072665194,1,15.4
"2014.00325342466",3.135750756,1,15.6
"2014.00331050228",3.28334952,1,15.5
"2014.00336757991",3.439061364,1,15.4
"2014.00342465753",3.653146794,1,15.5
"2014.00348173516",3.845349664,1,15.8
"2014.00353881279",3.84760413,1,16
