,Symbol,Adj_Close,High,Low,Volume,Open,Date,Close
0,AAPL,102.949997,104.349998,102.75,90898300,104.269997,2016-07-27,102.949997
1,AAPL,96.669998,97.970001,96.419998,42342400,96.82,2016-07-26,96.669998
2,AAPL,97.339996,98.839996,96.919998,40144400,98.25,2016-07-25,97.339996
3,AAPL,98.660004,99.300003,98.309998,28177200,99.260002,2016-07-22,98.660004
4,AAPL,99.43,101.00,99.129997,31792000,99.830002,2016-07-21,99.43
5,AAPL,99.959999,100.459999,99.739998,26276000,100.00,2016-07-20,99.959999
6,AAPL,99.870003,100.00,99.339996,23779900,99.559998,2016-07-19,99.870003
7,AAPL,99.830002,100.129997,98.599998,36493900,98.699997,2016-07-18,99.830002
8,AAPL,98.779999,99.300003,98.50,30137000,98.919998,2016-07-15,98.779999
9,AAPL,98.790001,98.989998,97.32,38919000,97.389999,2016-07-14,98.790001
10,AAPL,96.870003,97.669998,96.839996,25892200,97.410004,2016-07-13,96.870003
11,AAPL,97.419998,97.699997,97.120003,24167500,97.169998,2016-07-12,97.419998
12,AAPL,96.980003,97.650002,96.730003,23794900,96.75,2016-07-11,96.980003
13,AAPL,96.68,96.889999,96.050003,28912100,96.489998,2016-07-08,96.68
14,AAPL,95.940002,96.50,95.620003,25139600,95.699997,2016-07-07,95.940002
15,AAPL,95.529999,95.660004,94.370003,30949100,94.599998,2016-07-06,95.529999
16,AAPL,94.989998,95.400002,94.459999,27705200,95.389999,2016-07-05,94.989998
17,AAPL,95.889999,96.470001,95.330002,26026500,95.489998,2016-07-01,95.889999
18,AAPL,95.599998,95.769997,94.300003,35836400,94.440002,2016-06-30,95.599998
19,AAPL,94.400002,94.550003,93.629997,36531000,93.970001,2016-06-29,94.400002
20,AAPL,93.589996,93.660004,92.139999,40444900,92.900002,2016-06-28,93.589996
21,AAPL,92.040001,93.050003,91.50,45489600,93.00,2016-06-27,92.040001
22,AAPL,93.400002,94.660004,92.650002,75311400,92.910004,2016-06-24,93.400002
23,AAPL,96.099998,96.290001,95.25,32240200,95.940002,2016-06-23,96.099998
24,AAPL,95.550003,96.889999,95.349998,29219100,96.25,2016-06-22,95.550003
25,AAPL,95.910004,96.349998,94.68,35546400,94.940002,2016-06-21,95.910004
26,AAPL,95.099998,96.57,95.029999,34411900,96.00,2016-06-20,95.099998
27,AAPL,95.330002,96.650002,95.300003,61008200,96.620003,2016-06-17,95.330002
28,AAPL,97.550003,97.75,96.07,31326800,96.449997,2016-06-16,97.550003
29,AAPL,97.139999,98.410004,97.029999,29445200,97.82,2016-06-15,97.139999
30,AAPL,97.459999,98.480003,96.75,31931900,97.32,2016-06-14,97.459999
31,AAPL,97.339996,99.120003,97.099998,38020500,98.690002,2016-06-13,97.339996
32,AAPL,98.830002,99.349998,98.480003,31712900,98.529999,2016-06-10,98.830002
33,AAPL,99.650002,99.989998,98.459999,26601400,98.50,2016-06-09,99.650002
34,AAPL,98.940002,99.559998,98.68,20848100,99.019997,2016-06-08,98.940002
35,AAPL,99.029999,99.870003,98.959999,22409500,99.25,2016-06-07,99.029999
36,AAPL,98.629997,101.889999,97.550003,23292500,97.989998,2016-06-06,98.629997
37,AAPL,97.919998,98.269997,97.449997,28504900,97.790001,2016-06-03,97.919998
